,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.290024, 1.347697, 1.347697, 1.342948, 1.376595,1.230786, 1.285811, 1.285811, 1.28128, 1.384171,1.174335, 1.226836, 1.226836, 1.241384, 1.284166,1.176048, 1.228626, 1.228626, 1.243195, 1.28604,1.119921, 1.169989, 1.169989, 1.169989, 1.210311,1.084906, 1.133409, 1.133409, 1.133409, 1.172471,1, 1.044707, 1.044707, 1.044707, 1.052581,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
14,1.312089, 1.374939, 1.374939, 1.382745, 1.321397,1.28147, 1.338761, 1.338761, 1.346361, 1.354909,1.222694, 1.277357, 1.277357, 1.299842, 1.253574,1.224478, 1.279221, 1.279221, 1.301738, 1.347658,1.166039, 1.218169, 1.218169, 1.225085, 1.268301,1.129582, 1.180082, 1.180082, 1.180082, 1.220751,1.04118, 1.087728, 1.087728, 1.087728, 1.095926,1.04118, 1.04118, 1.04118, 1.04118, 1.04118,1, 1, 1, 1, 1,1, 1, 1, 1, 1
16,1.283026, 1.344484, 1.344484, 1.352117, 1.316862,1.253084, 1.309106, 1.309106, 1.316538, 1.350259,1.11867, 1.168682, 1.168682, 1.189253, 1.168876,1.120302, 1.170387, 1.170387, 1.190988, 1.256604,1.066837, 1.114532, 1.114532, 1.120859, 1.182613,1.03348, 1.079684, 1.079684, 1.079684, 1.138275,0.9526, 0.995188, 0.995188, 0.995188, 1.002689,0.9526, 0.9526, 0.9526, 0.9526, 0.9526,0.929691, 0.929691, 0.929691, 0.929691, 0.929691,0.914794, 0.914794, 0.914794, 0.914794, 0.914794
18,1.283026, 1.344484, 1.344484, 1.352117, 1.326592,1.253084, 1.309106, 1.309106, 1.316538, 1.360237,1.11867, 1.168682, 1.168682, 1.189253, 1.177512,1.191805, 1.245087, 1.245087, 1.224719, 1.301742,1.134928, 1.185667, 1.185667, 1.152604, 1.225092,1.099442, 1.148595, 1.148595, 1.110263, 1.179161,1.013399, 1.058705, 1.058705, 1.023373, 1.038705,1.013399, 1.013399, 1.013399, 1.013399, 1.013399,0.989029, 0.989029, 0.989029, 0.989029, 0.989029,0.856894, 0.856894, 0.856894, 0.856894, 0.856894
20,1.246453, 1.306159, 1.306159, 1.313574, 1.288778,1.217364, 1.271789, 1.271789, 1.279009, 1.321463,1.08678, 1.135367, 1.135367, 1.155352, 1.143947,1.157833, 1.209596, 1.209596, 1.189809, 1.264637,1.102575, 1.151868, 1.151868, 1.119747, 1.190169,1.068102, 1.115854, 1.115854, 1.078615, 1.14555,0.98451, 1.028524, 1.028524, 0.994199, 1.009094,0.98451, 0.98451, 0.98451, 0.98451, 0.98451,0.960835, 0.960835, 0.960835, 0.960835, 0.960835,0.832467, 0.832467, 0.832467, 0.832467, 0.832467
22,1.277588, 1.338785, 1.338785, 1.349933, 1.324451,1.247775, 1.303559, 1.303559, 1.314414, 1.358043,1.19529, 1.248728, 1.248728, 1.274056, 1.26148,1.273435, 1.330366, 1.330366, 1.308603, 1.432961,1.21266, 1.266874, 1.266874, 1.231547, 1.348583,1.174745, 1.227264, 1.227264, 1.186307, 1.298023,1.082806, 1.131215, 1.131215, 1.093463, 1.143403,1.082806, 1.082806, 1.082806, 1.082806, 1.115548,1.056768, 1.056768, 1.056768, 1.056768, 1.088723,0.915584, 0.915584, 0.915584, 0.915584, 0.943269
24,1.216615, 1.274891, 1.274891, 1.285507, 1.265831,1.188225, 1.241347, 1.241347, 1.251684, 1.297937,1.174292, 1.226791, 1.226791, 1.251675, 1.235511,1.275477, 1.3325, 1.3325, 1.310703, 1.43085,1.275477, 1.3325, 1.3325, 1.295343, 1.415509,1.235597, 1.304028, 1.304028, 1.260509, 1.376361,1.138899, 1.201975, 1.201975, 1.161861, 1.212415,1.138899, 1.150537, 1.150537, 1.150537, 1.182876,1.11151, 1.122869, 1.122869, 1.122869, 1.154431,0.963012, 0.972853, 0.972853, 0.972853, 1.000198
26,1.259498, 1.319828, 1.319828, 1.330818, 1.310449,1.230106, 1.2851, 1.2851, 1.295801, 1.343684,1.215683, 1.270033, 1.270033, 1.295794, 1.27906,1.320434, 1.379467, 1.379467, 1.356902, 1.542043,1.320434, 1.379467, 1.379467, 1.389262, 1.58041,1.279149, 1.349992, 1.349992, 1.351903, 1.536701,1.179041, 1.244339, 1.244339, 1.246101, 1.353655,1.179041, 1.19109, 1.19109, 1.233957, 1.320678,1.150687, 1.162446, 1.162446, 1.204282, 1.288916,0.996956, 1.007144, 1.007144, 1.043391, 1.116718
28,1.270446, 1.331301, 1.331301, 1.337656, 1.317182,1.240797, 1.296269, 1.296269, 1.302457, 1.350587,1.22625, 1.281072, 1.281072, 1.307057, 1.290177,1.331912, 1.391458, 1.391458, 1.368696, 1.555445,1.331912, 1.391458, 1.391458, 1.401339, 1.594149,1.290268, 1.361727, 1.361727, 1.363656, 1.550061,1.189289, 1.255156, 1.255156, 1.256933, 1.365423,1.189289, 1.201442, 1.201442, 1.244682, 1.332156,1.160689, 1.17255, 1.17255, 1.21475, 1.30012,1.005622, 1.015898, 1.015898, 1.05246, 1.126424
30,1.270446, 1.331301, 1.331301, 1.337656, 1.320785,1.221133, 1.275726, 1.275726, 1.268271, 1.318734,1.206816, 1.260769, 1.260769, 1.272749, 1.259749,1.310804, 1.369406, 1.369406, 1.347004, 1.508878,1.310804, 1.369406, 1.369406, 1.37913, 1.546427,1.26982, 1.32659, 1.32659, 1.328468, 1.488449,1.170441, 1.222768, 1.222768, 1.224499, 1.311147,1.170441, 1.170441, 1.170441, 1.212565, 1.279205,1.142294, 1.142294, 1.142294, 1.183405, 1.266573,0.989685, 0.989685, 0.989685, 1.025304, 1.097361
