,price,r,r+1
0,1876.75,,0.001939523
1,1880.39,0.001939523,0.025340488
2,1928.04,0.025340488,0.030575092
3,1986.99,0.030575092,-0.012707663
4,1961.74,-0.012707663,0.024513952
5,2009.83,0.024513952,0.00246787
6,2014.79,0.00246787,-0.031462336
7,1951.4,-0.031462336,0.022030337
8,1994.39,0.022030337,0.02553663
9,2045.32,0.02553663,-0.004639861
10,2035.83,-0.004639861,-0.008694243
11,2018.13,-0.008694243,0.025241189
12,2069.07,0.025241189,0.035571537
13,2142.67,0.035571537,-0.002431546
14,2137.46,-0.002431546,0.021268234
15,2182.92,0.021268234,0.000439778
16,2183.88,0.000439778,0.013686649
17,2213.77,0.013686649,0.036083243
18,2293.65,0.036083243,0.028042639
19,2357.97,0.028042639,0.011467491
20,2385.01,0.011467491,-0.03908579
21,2291.79,-0.03908579,0.013975975
22,2323.82,0.013975975,-0.014347066
23,2290.48,-0.014347066,0.019511194
24,2335.17,0.019511194,0.029865063
25,2404.91,0.029865063,0.029281761
26,2475.33,0.029281761,0.014070851
27,2510.16,0.014070851,0.018540651
28,2556.7,0.018540651,-0.026807995
29,2488.16,-0.026807995,0.003347855
30,2496.49,0.003347855,0.022567685
31,2552.83,0.022567685,0.009773467
32,2577.78,0.009773467,-0.007343528
33,2558.85,-0.007343528,-0.045766653
34,2441.74,-0.045766653,0.01744248
35,2484.33,0.01744248,-0.008187318
36,2463.99,-0.008187318,-0.015884805
37,2424.85,-0.015884805,0.058246902
38,2566.09,0.058246902,0.026826807
39,2634.93,0.026826807,0.027044362
40,2706.19,0.027044362,0.010553583
41,2734.75,0.010553583,0.004662218
42,2747.5,0.004662218,-0.02166697
43,2687.97,-0.02166697,0.040755663
44,2797.52,0.040755663,0.021579828
45,2857.89,0.021579828,-0.004422843
46,2845.25,-0.004422843,-0.021723926
47,2783.44,-0.021723926,0.022676975
48,2846.56,0.022676975,-0.014231212
49,2806.05,-0.014231212,0.059710269
50,2973.6,0.059710269,0.058255986
51,3146.83,0.058255986,0.032880709
52,3250.3,0.032880709,-0.017890656
53,3192.15,-0.017890656,-0.015838855
54,3141.59,-0.015838855,0.001193663
55,3145.34,0.001193663,0.042329287
56,3278.48,0.042329287,0.013509309
57,3322.77,0.013509309,0.025132645
58,3406.28,0.025132645,0.035560788
59,3527.41,0.035560788,-0.003056067
60,3516.63,-0.003056067,-0.013851329
61,3467.92,-0.013851329,0.043342984
62,3618.23,0.043342984,0.002885389
63,3628.67,0.002885389,-0.05392885
64,3432.98,-0.05392885,0.032001352
65,3542.84,0.032001352,0.049652256
66,3718.75,0.049652256,0.049153613
67,3901.54,0.049153613,0.020686703
68,3982.25,0.020686703,-0.009738213
69,3943.47,-0.009738213,-0.014616569
70,3885.83,-0.014616569,-0.046651552
71,3704.55,-0.046651552,0.000267239
72,3705.54,0.000267239,0.034855918
73,3834.7,0.034855918,0.00715571
74,3862.14,0.00715571,0.009727768
75,3899.71,0.009727768,-0.052229525
76,3696.03,-0.052229525,-0.028506262
77,3590.67,-0.028506262,0.041967098
78,3741.36,0.041967098,-0.063295165
79,3504.55,-0.063295165,-0.054092537
80,3314.98,-0.054092537,0.023819148
81,3393.94,0.023819148,-0.003105535
82,3383.4,-0.003105535,-0.052320151
83,3206.38,-0.052320151,-0.089097362
84,2920.7,-0.089097362,-0.079070086
85,2689.76,-0.079070086,0.062775117
86,2858.61,0.062775117,-0.03470218
87,2759.41,-0.03470218,-0.03989621
88,2649.32,-0.03989621,-0.016623133
89,2605.28,-0.016623133,-0.042778511
90,2493.83,-0.042778511,-0.056868351
91,2352.01,-0.056868351,0.005119026
92,2364.05,0.005119026,0.030333538
93,2435.76,0.030333538,0.041108319
94,2535.89,0.041108319,0.058038795
95,2683.07,0.058038795,0.016018963
96,2726.05,0.016018963,-0.04989637
97,2590.03,-0.04989637,0.014304854
98,2627.08,0.014304854,0.059472875
99,2783.32,0.059472875,0.02334622
100,2848.3,0.02334622,0.012147597
101,2882.9,0.012147597,0.005019251
102,2897.37,0.005019251,0.024360023
103,2967.95,0.024360023,-0.023629104
104,2897.82,-0.023629104,-0.073976299
105,2683.45,-0.073976299,-0.037820716
106,2581.96,-0.037820716,0.043343042
107,2693.87,0.043343042,-0.049252562
108,2561.19,-0.049252562,-0.008335969
109,2539.84,-0.008335969,-0.055346006
110,2399.27,-0.055346006,0.061222789
111,2546.16,0.061222789,-0.017328055
112,2502.04,-0.017328055,-0.008437115
113,2480.93,-0.008437115,0.038719351
114,2576.99,0.038719351,0.050341678
115,2706.72,0.050341678,-0.002885411
116,2698.91,-0.002885411,-0.028426291
117,2622.19,-0.028426291,0.023671054
118,2684.26,0.023671054,-0.003814832
119,2674.02,-0.003814832,-0.002890779
120,2666.29,-0.002890779,-0.060803589
121,2504.17,-0.060803589,0.026563692
122,2570.69,0.026563692,-0.024067468
123,2508.82,-0.024067468,-0.066513341
124,2341.95,-0.066513341,-0.080847157
125,2152.61,-0.080847157,-0.075211023
126,1990.71,-0.075211023,-0.050569897
127,1890.04,-0.050569897,0.036745254
128,1959.49,0.036745254,0.062582611
129,2082.12,0.062582611,-0.040943846
