代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
399006.SZ,创业板指,2010-05-31,1000,1000,1000,1000,0,0
399006.SZ,创业板指,2010-06-01,986.02,994.79,948.12,973.23,4924.18,135628500
399006.SZ,创业板指,2010-06-02,967.61,997.12,952.61,997.12,4001.21,107462800
399006.SZ,创业板指,2010-06-03,1002.36,1026.7,997.78,998.39,6240.84,161680500
399006.SZ,创业板指,2010-06-04,989.68,1027.68,986.5,1027.68,5269.44,150029500
399006.SZ,创业板指,2010-06-07,1005.03,1075.23,1001.7,1069.47,9106.1,265527500
399006.SZ,创业板指,2010-06-08,1067.32,1075.5,1050.97,1067.15,6622,197672100
399006.SZ,创业板指,2010-06-09,1070.85,1102.1,1069.43,1077.82,8994.87,254156800
399006.SZ,创业板指,2010-06-10,1077.68,1119.11,1076.28,1117.48,8242.73,219740500
399006.SZ,创业板指,2010-06-11,1122.44,1128.23,1118.71,1122.2,8449.04,222487400
399006.SZ,创业板指,2010-06-17,1126.13,1129.69,1064.84,1064.84,6757.41,176428400
399006.SZ,创业板指,2010-06-18,1052.07,1053.14,993.17,1000.28,5827.72,163065100
399006.SZ,创业板指,2010-06-21,991.96,1043.16,976.41,1040.8,5604.27,157479800
399006.SZ,创业板指,2010-06-22,1037.04,1057.37,1033.65,1035,5067.48,142716200
399006.SZ,创业板指,2010-06-23,1026.87,1056.35,1023.74,1047.34,4608.67,125735900
399006.SZ,创业板指,2010-06-24,1046.76,1059.75,1041.54,1050.6,3904.95,106913300
399006.SZ,创业板指,2010-06-25,1046.21,1046.21,999.16,1016.28,4515.67,123729800
399006.SZ,创业板指,2010-06-28,1009.22,1014.41,984.22,987.83,3463.55,92067300
399006.SZ,创业板指,2010-06-29,985.57,992.23,912.54,913.31,5293.9,149780000
399006.SZ,创业板指,2010-06-30,898.29,921.81,881.36,919.31,3852.16,122366100
399006.SZ,创业板指,2010-07-01,914.4,921.21,882.19,882.19,3663.77,104957300
399006.SZ,创业板指,2010-07-02,878.95,885.34,832.62,873.12,4212.66,128883400
399006.SZ,创业板指,2010-07-05,857.37,870.86,842.73,862.27,2851.74,91586400
399006.SZ,创业板指,2010-07-06,859.26,898.45,857.8,893.72,3751.06,116523200
399006.SZ,创业板指,2010-07-07,896.53,908.55,890.34,908.55,3342.47,104616300
399006.SZ,创业板指,2010-07-08,912,914.3,887.03,905.51,3780.7,109808800
399006.SZ,创业板指,2010-07-09,903.5,936.53,896.89,932.15,4743.26,145146000
399006.SZ,创业板指,2010-07-12,931.54,941.07,924.06,930.17,4188.15,126361800
399006.SZ,创业板指,2010-07-13,924.95,936.64,906.3,931.08,4744.14,146865700
399006.SZ,创业板指,2010-07-14,929.75,937.93,916.07,922.36,4648.08,142358600
399006.SZ,创业板指,2010-07-15,920.05,930.56,892.56,892.56,3960.49,117588100
399006.SZ,创业板指,2010-07-16,885.07,895.06,869.02,892.3,3264.22,100931200
399006.SZ,创业板指,2010-07-19,881.66,910.18,878.07,908.05,2992.58,93880300
399006.SZ,创业板指,2010-07-20,909.54,937.55,909.54,937.02,4559.58,136580900
399006.SZ,创业板指,2010-07-21,940.1,959.04,938.16,941.25,5960.65,166574600
399006.SZ,创业板指,2010-07-22,938.22,950.21,932.02,950.21,4356.67,132660300
399006.SZ,创业板指,2010-07-23,951.84,964.74,948.13,960.59,5339.09,172125100
399006.SZ,创业板指,2010-07-26,962.76,966.73,954.76,966.15,4626.05,147603600
399006.SZ,创业板指,2010-07-27,963.54,968.04,955.73,957.97,4574.09,136182100
399006.SZ,创业板指,2010-07-28,955.19,972.53,954.52,972.53,5187.23,156618300
399006.SZ,创业板指,2010-07-29,974.3,982.02,965.61,975.36,5897.85,179419300
399006.SZ,创业板指,2010-07-30,971.66,971.66,955.92,968.43,5049.47,145848700
399006.SZ,创业板指,2010-08-02,968.45,994.23,968.45,994.23,6104.41,181036400
399006.SZ,创业板指,2010-08-03,995.2,996.26,975.65,975.65,5951.42,175705900
399006.SZ,创业板指,2010-08-04,971.41,978.01,955.93,978.01,4758.3,144616500
399006.SZ,创业板指,2010-08-05,980.27,998.1,978.33,987.35,6033.99,177040000
399006.SZ,创业板指,2010-08-06,987.97,1011.39,985.63,1011.39,6225.32,189906100
399006.SZ,创业板指,2010-08-09,1013.25,1032.34,1013.25,1032.34,6918.9,209199500
399006.SZ,创业板指,2010-08-10,1031.98,1034.33,993.99,993.99,7106.82,217707200
399006.SZ,创业板指,2010-08-11,991.28,1006.45,990.94,1004.64,5180.19,161507800
399006.SZ,创业板指,2010-08-12,994.05,1007.58,987.98,991.78,5316.06,168918900
399006.SZ,创业板指,2010-08-13,992.63,1007.52,986.62,1007.21,4831.45,147179800
399006.SZ,创业板指,2010-08-16,1007.5,1031.05,1005.05,1030.22,6199.92,188040000
399006.SZ,创业板指,2010-08-17,1031.07,1036.82,1023.08,1033.58,6092.95,180077700
399006.SZ,创业板指,2010-08-18,1033.71,1035.61,1018.5,1026.72,5721.28,164350200
399006.SZ,创业板指,2010-08-19,1026.98,1033.25,1021.7,1025.53,5547.41,162453400
399006.SZ,创业板指,2010-08-20,1021.46,1022.45,993.56,995.94,9468.96,240456100
399006.SZ,创业板指,2010-08-23,994.94,1001.18,991.52,995.61,6691.92,177392800
399006.SZ,创业板指,2010-08-24,993.58,1007.76,987.22,1004.99,6272.78,160815500
399006.SZ,创业板指,2010-08-25,1000.27,1002.33,976.56,976.88,7732.03,216663900
399006.SZ,创业板指,2010-08-26,978.6,984.87,973,980.63,6245.79,170076800
399006.SZ,创业板指,2010-08-27,978.51,1000.86,975.72,999.46,7887.76,217348100
399006.SZ,创业板指,2010-08-30,1002.99,1025.15,1002.99,1024.93,8501.82,235818600
399006.SZ,创业板指,2010-08-31,1020.75,1029.8,1015.13,1025.57,8054.55,217533500
399006.SZ,创业板指,2010-09-01,1025.68,1029.81,987.59,995.59,8763.61,240015300
399006.SZ,创业板指,2010-09-02,1001.6,1018.28,996.52,1014.92,11048.56,275800400
399006.SZ,创业板指,2010-09-03,1017.64,1045.21,1017.51,1036.7,12468.6,318601300
399006.SZ,创业板指,2010-09-06,1039.46,1043.24,1007.43,1010.76,9852.7,254696300
399006.SZ,创业板指,2010-09-07,1010.12,1022.62,1007.64,1022.62,6571.73,168600200
399006.SZ,创业板指,2010-09-08,1020.23,1027.64,1016.84,1026.33,6577.84,180164400
399006.SZ,创业板指,2010-09-09,1029.11,1040.67,1019.69,1021.83,8209.27,236528400
399006.SZ,创业板指,2010-09-10,1021.87,1037.51,1016.19,1034.94,7388.11,221090100
399006.SZ,创业板指,2010-09-13,1034.39,1045.39,1033.25,1042.48,6899.54,201029300
399006.SZ,创业板指,2010-09-14,1044.3,1046.13,1028.77,1031.22,6968.66,194084200
399006.SZ,创业板指,2010-09-15,1029.52,1030.02,987.05,990.1,7937.96,221646400
399006.SZ,创业板指,2010-09-16,989.49,994.95,964.53,972.6,5902.97,171792400
399006.SZ,创业板指,2010-09-17,976.07,981.73,967.56,972.23,5395.69,145003100
399006.SZ,创业板指,2010-09-20,972.45,975.26,947.41,949.2,4638.37,129268200
399006.SZ,创业板指,2010-09-21,952.07,953.83,930.25,934.46,3685.26,110718800
399006.SZ,创业板指,2010-09-27,936.21,951.84,930.87,950.67,3608.37,107943700
399006.SZ,创业板指,2010-09-28,949.63,949.89,939.63,942.05,6756.9,166617300
399006.SZ,创业板指,2010-09-29,941.27,944.17,924.42,926.76,4512.22,123024200
399006.SZ,创业板指,2010-09-30,923.83,942.54,921.36,942.54,3967.68,109921000
399006.SZ,创业板指,2010-10-08,946.47,963.18,945.62,959.86,5272.91,151118800
399006.SZ,创业板指,2010-10-11,960.91,961.17,941.91,947.11,6479.46,185247000
399006.SZ,创业板指,2010-10-12,946.63,959.98,945.01,951.79,5054.33,151089600
