,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,0.986977, 1.029837, 1.037191, 1.167387, 1.303049, 1.378477, 1.378477, 1.437578, 1.480366, 1.449256, 1.668115, 1.672852, 1.672852, 1.672852, 1.672852,0.979534, 1.004618, 0.951512, 0.995596, 1.070799, 1.132783, 1.132783, 1.19586, 1.19586, 1.170729, 1.251241, 1.188487, 1.188487, 1.188487, 1.188487,1.003727, 1.046457, 0.935919, 0.924074, 0.993874, 0.953248, 0.954061, 1.006278, 1.006278, 0.991607, 0.976587, 0.927608, 0.927608, 0.92606, 0.92606,1.003727, 1.05338, 0.884303, 0.79632, 0.844088, 0.809585, 0.809585, 0.853894, 0.853894, 0.841444, 0.782885, 0.743621, 0.743621, 0.74238, 0.74238,0.994125, 1.043304, 0.885048, 0.800238, 0.831015, 0.797046, 0.797046, 0.83587, 0.83587, 0.823683, 0.759135, 0.721062, 0.721062, 0.723187, 0.723187,0.994125, 1.02633, 0.909105, 0.816683, 0.848093, 0.823721, 0.823721, 0.81828, 0.81828, 0.80635, 0.709568, 0.673981, 0.673981, 0.675966, 0.675966,1.007242, 1.029903, 0.913456, 0.804346, 0.826829, 0.80307, 0.80307, 0.797766, 0.797766, 0.80301, 0.719961, 0.681916, 0.681916, 0.683925, 0.683925,1.007242, 1.025958, 0.909957, 0.811756, 0.840769, 0.771925, 0.771925, 0.766826, 0.766826, 0.771867, 0.695287, 0.658546, 0.658546, 0.660486, 0.660486,1.007242, 1.025958, 0.899324, 0.798714, 0.827261, 0.759523, 0.759523, 0.755187, 0.755187, 0.760151, 0.777935, 0.745292, 0.745292, 0.748737, 0.748737,1.007242, 1.0185, 0.945154, 0.863791, 0.902723, 0.864854, 0.864854, 0.870914, 0.870914, 0.876639, 0.919381, 0.870798, 0.870798, 0.870798, 0.870798
14,0.986977, 1.029837, 1.037191, 1.167387, 1.303049, 1.396437, 1.396437, 1.456308, 1.499653, 1.468138, 1.651171, 1.648371, 1.648371, 1.648371, 1.648371,0.979534, 1.004618, 0.951512, 0.910555, 0.979334, 1.049522, 1.049522, 1.107963, 1.107963, 1.084679, 1.159273, 1.096151, 1.096151, 1.096151, 1.096151,1.003727, 1.046457, 0.935919, 0.831258, 0.894047, 0.868674, 0.869415, 0.916999, 0.916999, 0.903629, 0.889942, 0.841485, 0.841485, 0.840081, 0.840081,1.003727, 1.05338, 0.884303, 0.728297, 0.771986, 0.750077, 0.750077, 0.79113, 0.79113, 0.779595, 0.725339, 0.685845, 0.685845, 0.684701, 0.684701,0.994125, 1.043304, 0.885048, 0.731882, 0.738079, 0.717133, 0.717133, 0.752064, 0.752064, 0.741099, 0.683024, 0.645834, 0.645834, 0.647737, 0.647737,0.9677, 0.999047, 0.884938, 0.727068, 0.753064, 0.740953, 0.740953, 0.74155, 0.74155, 0.730738, 0.643029, 0.608016, 0.608016, 0.609807, 0.609807,0.980468, 1.002526, 0.889173, 0.716083, 0.73418, 0.722374, 0.722374, 0.722956, 0.720482, 0.725218, 0.650215, 0.61307, 0.61307, 0.614876, 0.614876,1.007242, 1.029353, 0.912969, 0.744873, 0.769486, 0.715684, 0.715684, 0.71626, 0.713809, 0.718501, 0.647216, 0.610242, 0.610242, 0.61204, 0.61204,0.980468, 1.001992, 0.878316, 0.713425, 0.736998, 0.685467, 0.677643, 0.6788, 0.676477, 0.680924, 0.696856, 0.657046, 0.657046, 0.660083, 0.660083,0.980468, 0.994708, 0.923075, 0.771554, 0.804228, 0.780529, 0.77162, 0.777376, 0.774715, 0.779807, 0.817828, 0.771107, 0.771107, 0.771107, 0.771107
16,0.986977, 1.029837, 1.017241, 1.173399, 1.231146, 1.282343, 1.282343, 1.337322, 1.368917, 1.340149, 1.513821, 1.511254, 1.511254, 1.511254, 1.511254,0.979534, 1.004618, 0.93321, 0.915242, 0.925292, 0.96377, 0.966332, 1.020141, 1.020141, 0.998703, 1.112452, 1.051879, 1.051879, 1.051879, 1.051879,1.003727, 1.046457, 0.917917, 0.835541, 0.844717, 0.797704, 0.800506, 0.845081, 0.845081, 0.83276, 0.854774, 0.808232, 0.808232, 0.806883, 0.806883,1.003727, 1.05338, 0.884303, 0.746407, 0.743693, 0.702302, 0.704169, 0.743379, 0.743379, 0.732541, 0.710336, 0.671659, 0.671659, 0.670538, 0.670538,0.97529, 1.023537, 0.811221, 0.687513, 0.622664, 0.588009, 0.589572, 0.618848, 0.618848, 0.609825, 0.585768, 0.553873, 0.553873, 0.548137, 0.548137,0.949366, 0.980119, 0.811119, 0.664992, 0.618564, 0.591532, 0.593104, 0.594117, 0.594117, 0.591585, 0.542558, 0.513016, 0.513016, 0.507703, 0.507703,0.961893, 0.983533, 0.815002, 0.654947, 0.603056, 0.576701, 0.55963, 0.560586, 0.558667, 0.568227, 0.530971, 0.500637, 0.500637, 0.495453, 0.495453,0.988159, 1.009851, 0.836811, 0.681277, 0.632052, 0.587859, 0.570458, 0.571432, 0.569476, 0.579221, 0.543783, 0.512718, 0.512718, 0.507409, 0.511022,0.961893, 0.983009, 0.80505, 0.652516, 0.60537, 0.563041, 0.540139, 0.541061, 0.524366, 0.53334, 0.568865, 0.54253, 0.54253, 0.53781, 0.541639,0.961893, 0.975863, 0.846075, 0.70568, 0.691416, 0.671042, 0.643747, 0.648549, 0.628538, 0.639295, 0.698773, 0.658854, 0.658854, 0.650116, 0.654745
18,0.986977, 1.029837, 1.017241, 1.16954, 1.245545, 1.334812, 1.334812, 1.318616, 1.349769, 1.338869, 1.512374, 1.509809, 1.509809, 1.509809, 1.509809,0.979534, 1.004618, 0.93321, 0.912232, 0.936113, 1.003203, 1.007473, 1.007473, 1.007473, 0.999338, 1.113158, 1.052547, 1.052547, 1.052547, 1.052547,1.003727, 1.046457, 0.917917, 0.892811, 0.916184, 0.890182, 0.894733, 0.894733, 0.894733, 0.893341, 0.916957, 0.872931, 0.872931, 0.871474, 0.871474,1.003727, 1.05338, 0.884303, 0.797569, 0.806616, 0.783725, 0.787061, 0.787061, 0.765044, 0.763855, 0.740701, 0.705138, 0.705138, 0.703961, 0.703961,0.97529, 1.023537, 0.811221, 0.734636, 0.675345, 0.65618, 0.658973, 0.655211, 0.636882, 0.635891, 0.64336, 0.612471, 0.612471, 0.606129, 0.606129,0.949366, 0.980119, 0.811119, 0.710574, 0.670898, 0.660109, 0.662919, 0.664051, 0.645475, 0.651219, 0.629084, 0.598879, 0.598879, 0.592677, 0.592677,0.961893, 0.983533, 0.815002, 0.699839, 0.654079, 0.643561, 0.625507, 0.626575, 0.606963, 0.62551, 0.615651, 0.584431, 0.584431, 0.578379, 0.578379,0.988159, 1.009851, 0.836811, 0.727974, 0.685528, 0.637595, 0.619709, 0.620767, 0.601337, 0.619712, 0.612807, 0.581731, 0.581731, 0.575707, 0.579806,0.961893, 0.983009, 0.80505, 0.697242, 0.656589, 0.610681, 0.586775, 0.587777, 0.553707, 0.570627, 0.641074, 0.615558, 0.615558, 0.610202, 0.614547,0.961893, 0.975863, 0.846075, 0.75405, 0.749915, 0.727817, 0.699325, 0.704542, 0.663702, 0.683983, 0.787466, 0.747534, 0.747534, 0.73762, 0.742872
20,0.986977, 1.029837, 1.017241, 1.143585, 1.220488, 1.307959, 1.307959, 1.292089, 1.322616, 1.311936, 1.481952, 1.479439, 1.479439, 1.479439, 1.479439,0.979534, 1.004618, 0.93321, 0.912232, 0.936113, 1.003203, 1.007473, 1.007473, 1.007473, 0.999338, 1.113158, 1.052547, 1.052547, 1.052547, 1.052547,1.003727, 1.046457, 0.917917, 0.895595, 0.920992, 0.894855, 0.89943, 0.89943, 0.89943, 0.898031, 0.921771, 0.877513, 0.877513, 0.876049, 0.876049,1.003727, 1.05338, 0.884303, 0.825576, 0.836713, 0.812967, 0.816428, 0.816428, 0.793589, 0.792356, 0.768338, 0.731447, 0.731447, 0.730226, 0.730226,0.988789, 1.037703, 0.822448, 0.770957, 0.71024, 0.690084, 0.693022, 0.689066, 0.66979, 0.668749, 0.676603, 0.644116, 0.644116, 0.637445, 0.637445,0.962506, 0.993686, 0.822348, 0.745708, 0.705565, 0.694219, 0.697174, 0.698365, 0.678829, 0.68487, 0.661591, 0.629826, 0.629826, 0.623304, 0.623304,0.975205, 0.997145, 0.826283, 0.734444, 0.687877, 0.676815, 0.657828, 0.658952, 0.638326, 0.657832, 0.647464, 0.614631, 0.614631, 0.608266, 0.608266,1.001835, 1.023828, 0.848393, 0.754095, 0.711634, 0.661876, 0.643309, 0.644407, 0.625697, 0.644817, 0.637632, 0.605297, 0.605297, 0.599028, 0.603293,0.975205, 0.996613, 0.816192, 0.722258, 0.68159, 0.633933, 0.61615, 0.617202, 0.582786, 0.600594, 0.674741, 0.654165, 0.654165, 0.648473, 0.65309,0.975205, 0.989368, 0.857785, 0.781105, 0.778469, 0.75553, 0.734336, 0.739814, 0.698561, 0.719908, 0.828827, 0.794425, 0.794425, 0.783889, 0.789471
22,0.986977, 1.029837, 1.017241, 1.143585, 1.220488, 1.307959, 1.307959, 1.292089, 1.322616, 1.311936, 1.481952, 1.479439, 1.49504, 1.49504, 1.49504,0.979534, 1.004618, 0.93321, 0.912232, 0.936113, 1.003203, 1.007473, 1.007473, 1.007473, 0.999338, 1.113158, 1.052547, 1.063647, 1.063647, 1.063647,1.003727, 1.046457, 0.917917, 0.895595, 0.920992, 0.894855, 0.89943, 0.89943, 0.89943, 0.898031, 0.921771, 0.877513, 0.886767, 0.885287, 0.885287,1.003727, 1.05338, 0.884303, 0.803632, 0.814475, 0.815206, 0.818676, 0.818676, 0.795774, 0.794537, 0.770453, 0.733461, 0.741196, 0.739959, 0.739959,0.988789, 1.037703, 0.880297, 0.797871, 0.779602, 0.780302, 0.783624, 0.77915, 0.757354, 0.756176, 0.765058, 0.728325, 0.736006, 0.728385, 0.728385,0.983882, 1.015753, 0.899736, 0.788882, 0.791677, 0.802418, 0.805834, 0.807211, 0.78463, 0.791614, 0.73778, 0.702356, 0.709763, 0.702413, 0.702413,0.996864, 1.019291, 0.904044, 0.776965, 0.771827, 0.782299, 0.785629, 0.786971, 0.762338, 0.785633, 0.746023, 0.708192, 0.71566, 0.708249, 0.708249,1.024085, 1.046565, 0.928234, 0.797753, 0.798482, 0.765031, 0.768288, 0.7696, 0.747256, 0.77009, 0.734697, 0.69744, 0.704795, 0.697498, 0.702464,0.996864, 1.018747, 0.893003, 0.764074, 0.764774, 0.725485, 0.728573, 0.729818, 0.689122, 0.71018, 0.769763, 0.74629, 0.75416, 0.747598, 0.752921,0.996864, 1.011341, 0.93851, 0.826327, 0.873474, 0.86464, 0.868321, 0.874798, 0.826018, 0.851259, 0.945542, 0.906296, 0.915853, 0.903706, 0.910141
24,0.986977, 1.029837, 1.017241, 1.143585, 1.251968, 1.341695, 1.341695, 1.325416, 1.35673, 1.345774, 1.476855, 1.474351, 1.489899, 1.489899, 1.489899,0.979534, 1.004618, 0.93321, 0.912232, 0.968402, 1.037806, 1.042224, 1.042224, 1.042224, 1.033807, 1.118739, 1.057824, 1.068979, 1.068979, 1.068979,1.003727, 1.046457, 0.917917, 0.895595, 0.928802, 0.902442, 0.907057, 0.907057, 0.907057, 0.905647, 0.903099, 0.859738, 0.868804, 0.867354, 0.867354,1.003727, 1.05338, 0.884303, 0.83126, 0.849619, 0.850382, 0.854002, 0.854002, 0.830112, 0.828821, 0.780796, 0.743307, 0.751146, 0.749893, 0.749893,0.988789, 1.037703, 0.880297, 0.825303, 0.813243, 0.813974, 0.817439, 0.812772, 0.790035, 0.788806, 0.775329, 0.738102, 0.745886, 0.738163, 0.738163,1.010749, 1.043492, 0.924306, 0.824661, 0.834599, 0.845923, 0.849524, 0.850975, 0.82717, 0.834531, 0.755617, 0.719336, 0.726922, 0.719394, 0.719394,1.024085, 1.047124, 0.92873, 0.834704, 0.836216, 0.847562, 0.85117, 0.852624, 0.825937, 0.851175, 0.770684, 0.731604, 0.739319, 0.731664, 0.731664,1.024085, 1.046565, 0.928234, 0.834262, 0.842105, 0.806825, 0.81026, 0.811643, 0.788078, 0.812159, 0.738811, 0.701347, 0.708743, 0.701404, 0.706398,1.024085, 1.046565, 0.917388, 0.820857, 0.828576, 0.786009, 0.789355, 0.790703, 0.746613, 0.769428, 0.79521, 0.770961, 0.779091, 0.772312, 0.777811,1.024085, 1.038957, 0.964138, 0.889256, 0.972416, 0.962582, 0.96668, 0.973891, 0.90722, 0.934942, 0.990215, 0.949115, 0.959124, 0.946404, 0.953143
26,0.986977, 1.029837, 1.017241, 1.143585, 1.251968, 1.362846, 1.362846, 1.34631, 1.378118, 1.36699, 1.509072, 1.506513, 1.5224, 1.5224, 1.5224,0.979534, 1.004618, 0.93321, 0.912232, 0.968402, 1.054166, 1.058653, 1.058653, 1.058653, 1.050104, 1.168258, 1.104646, 1.116295, 1.116295, 1.116295,1.003727, 1.046457, 0.917917, 0.895595, 0.928802, 0.916669, 0.921356, 0.921356, 0.921356, 0.919923, 0.943072, 0.897792, 0.90726, 0.905746, 0.897385,1.003727, 1.05338, 0.884303, 0.83126, 0.849619, 0.863788, 0.867465, 0.867465, 0.843199, 0.841889, 0.815358, 0.776209, 0.784394, 0.783085, 0.775856,0.988789, 1.037703, 0.880297, 0.825303, 0.813243, 0.826807, 0.830327, 0.825587, 0.802492, 0.801245, 0.809652, 0.770777, 0.778905, 0.77084, 0.763724,1.010749, 1.043492, 0.924306, 0.824661, 0.834599, 0.866842, 0.870532, 0.872019, 0.847625, 0.855169, 0.796028, 0.757808, 0.765799, 0.757869, 0.750873,1.024085, 1.047124, 0.92873, 0.834704, 0.836216, 0.868521, 0.872218, 0.873708, 0.84636, 0.872222, 0.8119, 0.770729, 0.778857, 0.770792, 0.763676,1.024085, 1.046565, 0.928234, 0.834262, 0.842105, 0.826778, 0.830297, 0.831715, 0.807568, 0.832245, 0.778324, 0.738855, 0.746647, 0.738916, 0.737308,1.024085, 1.046565, 0.917388, 0.820857, 0.828576, 0.805447, 0.808876, 0.810257, 0.765076, 0.788455, 0.837739, 0.812194, 0.820759, 0.813618, 0.811847,1.024085, 1.038957, 0.964138, 0.889256, 0.972416, 0.986387, 0.990586, 0.997975, 0.929656, 0.958063, 1.043173, 0.999875, 1.010419, 0.997018, 0.994848
28,0.986977, 1.029837, 0.929462, 1.044907, 1.173217, 1.277122, 1.277122, 1.261626, 1.291433, 1.282339, 1.415621, 1.413221, 1.428124, 1.456703, 1.456703,0.979534, 1.004618, 0.852683, 0.833519, 0.90749, 0.98786, 0.992065, 0.992065, 0.992065, 0.985079, 1.095917, 1.036245, 1.047173, 1.068129, 1.068129,1.003727, 1.046457, 0.838709, 0.818311, 0.854513, 0.84335, 0.847662, 0.847662, 0.847662, 0.847225, 0.868546, 0.826844, 0.835563, 0.850862, 0.843007,1.003727, 1.05338, 0.807996, 0.759529, 0.781664, 0.794701, 0.798084, 0.798084, 0.775758, 0.775358, 0.750924, 0.714868, 0.722407, 0.735634, 0.728843,0.988789, 1.037703, 0.804336, 0.754086, 0.748199, 0.760676, 0.763914, 0.759553, 0.738305, 0.737925, 0.714671, 0.680358, 0.687533, 0.69403, 0.687623,1.010749, 1.043492, 0.844546, 0.7535, 0.767845, 0.797509, 0.800904, 0.802272, 0.779829, 0.786769, 0.719307, 0.684771, 0.691992, 0.698531, 0.692082,1.024085, 1.047124, 0.848589, 0.762678, 0.769337, 0.799058, 0.802459, 0.80383, 0.77867, 0.802463, 0.733655, 0.696451, 0.703795, 0.710445, 0.703886,1.024085, 1.046565, 0.848136, 0.762272, 0.774754, 0.760653, 0.763891, 0.765196, 0.742979, 0.765683, 0.696687, 0.661359, 0.668333, 0.674648, 0.673179,1.024085, 1.046565, 0.859517, 0.769078, 0.781668, 0.754657, 0.757869, 0.759163, 0.716832, 0.738736, 0.763658, 0.740372, 0.74818, 0.756512, 0.754865,1.024085, 1.038957, 0.903319, 0.833161, 0.917367, 0.924187, 0.928121, 0.935044, 0.871033, 0.898584, 0.928899, 0.890343, 0.899732, 0.905565, 0.903593
30,0.986977, 1.029837, 0.929462, 1.055704, 1.185338, 1.254094, 1.254094, 1.238878, 1.268148, 1.259218, 1.390098, 1.382117, 1.396692, 1.424642, 1.424642,0.979534, 1.004618, 0.852683, 0.814925, 0.887243, 0.938708, 0.942704, 0.942704, 0.961459, 0.954688, 1.062105, 1.000205, 1.010753, 1.03098, 1.03098,1.003727, 1.046457, 0.838709, 0.80006, 0.835453, 0.801393, 0.80549, 0.80549, 0.821515, 0.821092, 0.841752, 0.798089, 0.806505, 0.821271, 0.813689,1.003727, 1.05338, 0.807996, 0.742588, 0.764228, 0.755163, 0.758378, 0.758378, 0.751828, 0.751441, 0.666928, 0.632334, 0.639002, 0.650701, 0.644694,0.988789, 1.037703, 0.804336, 0.737267, 0.710961, 0.702527, 0.705518, 0.70149, 0.695431, 0.673842, 0.598057, 0.567036, 0.573016, 0.578431, 0.573091,1.010749, 1.043492, 0.844546, 0.736693, 0.729631, 0.736544, 0.739679, 0.740942, 0.734543, 0.718444, 0.601937, 0.570714, 0.576732, 0.582181, 0.576807,0.994976, 1.017361, 0.824469, 0.671992, 0.658816, 0.665058, 0.667889, 0.66903, 0.660983, 0.660375, 0.553283, 0.523098, 0.528614, 0.533608, 0.528682,0.994976, 1.016819, 0.824029, 0.67313, 0.664931, 0.652829, 0.655608, 0.656727, 0.650347, 0.649748, 0.541782, 0.512224, 0.517626, 0.522518, 0.52138,0.994976, 1.016819, 0.835088, 0.679141, 0.670869, 0.647685, 0.650442, 0.651553, 0.627461, 0.626884, 0.593866, 0.573424, 0.579471, 0.585924, 0.584648,0.994976, 1.009427, 0.877643, 0.699985, 0.749077, 0.754646, 0.757858, 0.763511, 0.725392, 0.725478, 0.687266, 0.656071, 0.66299, 0.667288, 0.665835
