日期,策略收益率,中证500指数收益率
2005/1/4,1,0.98693
2005/1/5,1,1.00363
2005/1/6,1,0.9946
2005/1/7,1,0.99761
2005/1/10,1,1.00634
2005/1/11,1,1.00834
2005/1/12,1,1.00862
2005/1/13,1,1.01307
2005/1/14,1,1.00017
2005/1/17,1,0.97752
2005/1/18,1,0.99142
2005/1/19,1,0.98624
2005/1/20,1,0.97246
2005/1/21,1,0.98852
2005/1/24,1,1.00818
2005/1/25,0.99144,0.99955
2005/1/26,0.979944,0.98796
2005/1/27,0.979944,0.97137
2005/1/28,0.979944,0.95241
2005/1/31,0.979944,0.92265
2005/2/1,0.979944,0.91333
2005/2/2,0.979944,0.96424
2005/2/3,0.979944,0.94531
2005/2/4,0.979944,0.96203
2005/2/16,0.979944,0.97234
2005/2/17,0.984913,0.97727
2005/2/18,0.972315,0.96477
2005/2/21,0.972315,0.98182
2005/2/22,0.997935,1.00769
2005/2/23,1.009393,1.01926
2005/2/24,1.014533,1.02445
2005/2/25,1.014206,1.02412
2005/2/28,1.010968,1.02085
2005/3/1,1.011275,1.02116
2005/3/2,0.99641,1.00615
2005/3/3,1.0015,1.01129
2005/3/4,0.993498,1.00321
2005/3/7,0.997202,1.00695
2005/3/8,1.019494,1.02946
2005/3/9,1.022554,1.03255
2005/3/10,0.995815,1.00555
2005/3/11,0.995815,1.00943
2005/3/14,0.995815,1.00777
2005/3/15,0.995815,0.99383
2005/3/16,0.995815,0.98392
2005/3/17,0.995815,0.97097
2005/3/18,0.995815,0.94951
2005/3/21,0.995815,0.94955
2005/3/22,0.995815,0.92256
2005/3/23,0.995815,0.92319
2005/3/24,0.995815,0.93335
2005/3/25,0.995815,0.93142
2005/3/28,0.995815,0.92292
2005/3/29,0.995815,0.91681
2005/3/30,0.995815,0.88895
2005/3/31,0.995815,0.89607
2005/4/1,0.995815,0.92755
2005/4/4,0.995815,0.90987
2005/4/5,0.995815,0.90174
2005/4/6,0.995815,0.91856
2005/4/7,0.995815,0.93233
2005/4/8,1.014111,0.94946
2005/4/11,1.013096,0.94851
2005/4/12,0.990559,0.92741
2005/4/13,1.014933,0.95023
2005/4/14,0.999125,0.93543
2005/4/15,0.975456,0.91327
2005/4/18,0.975456,0.90112
2005/4/19,0.975456,0.90279
2005/4/20,0.975456,0.88408
2005/4/21,0.975456,0.86733
2005/4/22,0.975456,0.8574
2005/4/25,0.975456,0.84106
2005/4/26,0.975456,0.85524
2005/4/27,0.975456,0.83995
2005/4/28,0.975456,0.86062
2005/4/29,0.975456,0.84761
2005/5/9,0.975456,0.8184
2005/5/10,0.975456,0.81809
2005/5/11,0.975456,0.81157
2005/5/12,0.975456,0.80751
2005/5/13,0.975456,0.81488
2005/5/16,0.975456,0.80817
2005/5/17,0.975456,0.81846
2005/5/18,0.975456,0.82464
2005/5/19,0.975456,0.82494
2005/5/20,0.975456,0.81913
2005/5/23,0.975456,0.79372
2005/5/24,0.975456,0.80874
2005/5/25,0.975456,0.8097
2005/5/26,0.975456,0.79902
2005/5/27,0.975456,0.791
2005/5/30,0.975456,0.79753
2005/5/31,0.975456,0.79687
2005/6/1,0.975456,0.77867
2005/6/2,0.975456,0.76942
2005/6/3,0.975456,0.76597
2005/6/6,0.975456,0.77821
2005/6/7,0.975456,0.77984
2005/6/8,0.975456,0.84136
2005/6/9,0.975456,0.84973
2005/6/10,0.975456,0.83161
2005/6/13,0.978553,0.83425
2005/6/14,0.959715,0.81819
2005/6/15,0.933992,0.79626
2005/6/16,0.933992,0.80395
2005/6/17,0.929566,0.80014
2005/6/20,0.929566,0.82373
2005/6/21,0.921069,0.8162
2005/6/22,0.923834,0.81865
2005/6/23,0.913339,0.80935
2005/6/24,0.913339,0.8132
2005/6/27,0.913339,0.83435
2005/6/28,0.896591,0.81905
2005/6/29,0.896591,0.81406
2005/6/30,0.896591,0.7915
2005/7/1,0.896591,0.76035
2005/7/4,0.896591,0.74948
2005/7/5,0.896591,0.7446
2005/7/6,0.896591,0.74344
2005/7/7,0.896591,0.74742
2005/7/8,0.896591,0.72285
2005/7/11,0.896591,0.71448
2005/7/12,0.896591,0.73953
2005/7/13,0.896591,0.73244
2005/7/14,0.896591,0.73254
2005/7/15,0.896591,0.71449
2005/7/18,0.896591,0.69685
2005/7/19,0.896591,0.70307
2005/7/20,0.896591,0.70729
2005/7/21,0.896591,0.70479
2005/7/22,0.896591,0.72145
2005/7/25,0.896591,0.71887
2005/7/26,0.896591,0.73586
2005/7/27,0.913844,0.75002
2005/7/28,0.910445,0.74723
2005/7/29,0.907521,0.74483
2005/8/1,0.914417,0.75049
2005/8/2,0.930013,0.76329
2005/8/3,0.937884,0.76975
2005/8/4,0.932413,0.76526
2005/8/5,0.959901,0.78782
2005/8/8,0.974888,0.80012
2005/8/9,0.992031,0.81419
2005/8/10,1.003789,0.82384
2005/8/11,1.014755,0.83284
2005/8/12,0.994712,0.81639
2005/8/15,1.023077,0.83967
2005/8/16,1.022577,0.83926
2005/8/17,1.041182,0.85453
2005/8/18,0.999914,0.82066
2005/8/19,1.00017,0.82087
2005/8/22,1.013122,0.8315
2005/8/23,0.995345,0.81691
2005/8/24,1.007298,0.82672
2005/8/25,1.019117,0.83642
2005/8/26,1.024003,0.84043
2005/8/29,1.014036,0.83225
2005/8/30,1.008309,0.82755
2005/8/31,1.008309,0.84514
2005/9/1,1.032492,0.86541
2005/9/2,1.040939,0.87249
2005/9/5,1.055017,0.88429
2005/9/6,1.029008,0.86249
2005/9/7,1.059598,0.88813
2005/9/8,1.061459,0.88969
2005/9/9,1.049302,0.8795
2005/9/12,1.054146,0.88356
2005/9/13,1.078902,0.90431
2005/9/14,1.091632,0.91498
2005/9/15,1.095844,0.91851
2005/9/16,1.094806,0.91764
2005/9/19,1.110137,0.93049
2005/9/20,1.102585,0.92416
2005/9/21,1.085441,0.90979
2005/9/22,1.049911,0.88001
2005/9/23,1.049911,0.86855
2005/9/26,1.049911,0.87484
2005/9/27,1.049911,0.85696
2005/9/28,1.049911,0.85236
2005/9/29,1.049911,0.87129
2005/9/30,1.049911,0.86951
2005/10/10,1.049911,0.85875
2005/10/11,1.049911,0.87862
2005/10/12,1.049911,0.88771
2005/10/13,1.044873,0.88345
2005/10/14,1.044873,0.87605
2005/10/17,1.044873,0.87876
2005/10/18,1.062637,0.8937
2005/10/19,1.05385,0.88631
2005/10/20,1.054135,0.88655
2005/10/21,1.064218,0.89503
2005/10/24,1.067464,0.89776
2005/10/25,1.043469,0.87758
2005/10/26,1.043469,0.85403
2005/10/27,1.043469,0.84759
2005/10/28,1.043469,0.82506
2005/10/31,1.043469,0.82866
2005/11/1,1.043469,0.82333
2005/11/2,1.043469,0.84032
2005/11/3,1.043469,0.82891
2005/11/4,1.043469,0.83512
2005/11/7,1.043469,0.842
2005/11/8,1.043469,0.84897
2005/11/9,1.043469,0.84511
2005/11/10,1.043469,0.82127
2005/11/11,1.043469,0.82396
2005/11/14,1.043469,0.82757
2005/11/15,1.043469,0.82049
2005/11/16,1.043469,0.82669
2005/11/17,1.043469,0.8258
2005/11/18,1.043469,0.84374
2005/11/21,1.047451,0.84696
2005/11/22,1.028665,0.83177
2005/11/23,1.028665,0.83812
2005/11/24,1.033059,0.8417
2005/11/25,1.032359,0.84113
2005/11/28,1.028935,0.83834
2005/11/29,1.015029,0.82701
2005/11/30,1.015029,0.8295
2005/12/1,1.015029,0.82819
2005/12/2,1.015029,0.81786
2005/12/5,1.015029,0.79693
2005/12/6,1.015029,0.79888
2005/12/7,1.015029,0.80678
2005/12/8,1.015029,0.80556
2005/12/9,1.015029,0.8192
2005/12/12,1.015029,0.82452
2005/12/13,1.015448,0.82486
2005/12/14,1.024866,0.83251
2005/12/15,1.018748,0.82754
2005/12/16,1.027365,0.83454
2005/12/19,1.027574,0.83471
2005/12/20,1.02931,0.83612
2005/12/21,1.022724,0.83077
2005/12/22,1.028547,0.8355
2005/12/23,1.040968,0.84559
2005/12/26,1.050299,0.85317
2005/12/27,1.051973,0.85453
2005/12/28,1.055272,0.85721
2005/12/29,1.067016,0.86675
2005/12/30,1.058866,0.86013
2006/1/4,1.073146,0.87173
2006/1/5,1.086688,0.88273
2006/1/6,1.098026,0.89194
2006/1/9,1.11419,0.90507
2006/1/10,1.121724,0.91119
2006/1/11,1.11595,0.9065
2006/1/12,1.141704,0.92742
2006/1/13,1.147958,0.9325
2006/1/16,1.132976,0.92033
2006/1/17,1.131683,0.91928
2006/1/18,1.156132,0.93914
2006/1/19,1.16939,0.94991
2006/1/20,1.172911,0.95277
2006/1/23,1.183129,0.96107
2006/1/24,1.182243,0.96035
2006/1/25,1.179092,0.95779
2006/2/6,1.207554,0.98091
2006/2/7,1.208366,0.98157
2006/2/8,1.210053,0.98294
2006/2/9,1.193606,0.96958
2006/2/10,1.207418,0.9808
2006/2/13,1.203232,0.9774
2006/2/14,1.213893,0.98606
2006/2/15,1.214016,0.98616
2006/2/16,1.180076,0.95859
2006/2/17,1.180076,0.94999
2006/2/20,1.180076,0.94377
2006/2/21,1.180076,0.96002
2006/2/22,1.180076,0.95995
2006/2/23,1.180076,0.95872
2006/2/24,1.180076,0.96716
2006/2/27,1.180076,0.96338
2006/2/28,1.180076,0.96473
2006/3/1,1.180076,0.97207
2006/3/2,1.157375,0.95337
2006/3/3,1.157375,0.95446
2006/3/6,1.157375,0.95235
2006/3/7,1.157375,0.92858
2006/3/8,1.157375,0.92483
2006/3/9,1.157375,0.92013
2006/3/10,1.157375,0.92168
2006/3/13,1.157375,0.92852
2006/3/14,1.157375,0.93172
2006/3/15,1.157375,0.94269
2006/3/16,1.157375,0.94552
2006/3/17,1.155184,0.94373
2006/3/20,1.170375,0.95614
2006/3/21,1.175014,0.95993
2006/3/22,1.18996,0.97214
2006/3/23,1.200609,0.98084
2006/3/24,1.192567,0.97427
2006/3/27,1.204661,0.98415
2006/3/28,1.217355,0.99452
2006/3/29,1.221248,0.9977
2006/3/30,1.208102,0.98696
2006/3/31,1.22437,1.00025
2006/4/3,1.255633,1.02579
2006/4/4,1.270713,1.03811
2006/4/5,1.283639,1.04867
2006/4/6,1.289784,1.05369
2006/4/7,1.307435,1.06811
2006/4/10,1.335111,1.09072
2006/4/11,1.339628,1.09441
2006/4/12,1.340962,1.0955
2006/4/13,1.3008,1.06269
2006/4/14,1.332001,1.08818
2006/4/17,1.338525,1.09351
2006/4/18,1.343691,1.09773
2006/4/19,1.347278,1.10066
2006/4/20,1.336494,1.09185
2006/4/21,1.349591,1.10255
2006/4/24,1.33959,1.09438
2006/4/25,1.350215,1.10306
2006/4/26,1.367046,1.11681
2006/4/27,1.377463,1.12532
2006/4/28,1.397501,1.14169
2006/5/8,1.445288,1.18073
2006/5/9,1.491019,1.21809
2006/5/10,1.51976,1.24157
2006/5/11,1.515109,1.23777
2006/5/12,1.571306,1.28368
2006/5/15,1.646268,1.34492
2006/5/16,1.646268,1.29793
2006/5/17,1.672955,1.31897
2006/5/18,1.684675,1.32821
2006/5/19,1.732163,1.36565
2006/5/22,1.758926,1.38675
2006/5/23,1.682075,1.32616
2006/5/24,1.659916,1.30869
2006/5/25,1.680502,1.32492
2006/5/26,1.719289,1.3555
2006/5/29,1.759903,1.38752
2006/5/30,1.789101,1.41054
2006/5/31,1.778688,1.40233
2006/6/1,1.846432,1.45574
2006/6/2,1.848994,1.45776
2006/6/5,1.882644,1.48429
2006/6/6,1.86509,1.47045
2006/6/7,1.738709,1.37081
2006/6/8,1.738709,1.37608
2006/6/9,1.738709,1.34648
2006/6/12,1.738709,1.35258
2006/6/13,1.738709,1.36153
2006/6/14,1.738709,1.34788
2006/6/15,1.738709,1.35234
2006/6/16,1.738709,1.38241
2006/6/19,1.738709,1.398
2006/6/20,1.75974,1.41491
2006/6/21,1.754255,1.4105
2006/6/22,1.755225,1.41128
2006/6/23,1.779142,1.43051
2006/6/26,1.812262,1.45714
2006/6/27,1.821652,1.46469
2006/6/28,1.818045,1.46179
2006/6/29,1.850842,1.48816
2006/6/30,1.848156,1.486
2006/7/3,1.883067,1.51407
2006/7/4,1.876562,1.50884
2006/7/5,1.862657,1.49766
2006/7/6,1.914296,1.53918
2006/7/7,1.91687,1.54125
2006/7/10,1.927802,1.55004
2006/7/11,1.942478,1.56184
2006/7/12,1.942752,1.56206
2006/7/13,1.815545,1.45978
2006/7/14,1.815545,1.47047
2006/7/17,1.815545,1.49479
2006/7/18,1.815545,1.50659
2006/7/19,1.815545,1.47235
2006/7/20,1.815545,1.48441
2006/7/21,1.815545,1.49304
2006/7/24,1.815545,1.49661
2006/7/25,1.815545,1.51817
2006/7/26,1.82235,1.52386
2006/7/27,1.801661,1.50656
2006/7/28,1.801661,1.49211
2006/7/31,1.801661,1.42504
2006/8/1,1.801661,1.4089
2006/8/2,1.801661,1.40186
2006/8/3,1.801661,1.40116
2006/8/4,1.801661,1.35478
2006/8/7,1.801661,1.32373
2006/8/8,1.801661,1.36499
2006/8/9,1.801661,1.3674
2006/8/10,1.801661,1.39114
