code,name,pause_start,pause_end,limit_amount,limit_days,types,est_years,rank,"minus_benchmark
",scale2018,scale2019,scale2020
540002.OF,»ã·á½úÐÅÁúÌÚ»ìºÏ,2019/5/28,2019/6/27,100,30,Æ«¹É»ìºÏÐÍ»ù½ð,13.6,41.19223041,5.52,12.65631151,6.20942912,9.850185281
519089.OF,ÐÂ»ªÓÅÑ¡³É³¤»ìºÏ,2018/11/21,2018/12/21,500,30,Æ«¹É»ìºÏÐÍ»ù½ð,11.77260274,28.43268587,14.34,3.270782451,10.1359109,6.268126867
590006.OF,ÖÐÓÊÖÐÐ¡ÅÌÁé»îÅäÖÃ»ìºÏ,2019/11/1,2019/12/2,500,31,Æ½ºâ»ìºÏÐÍ»ù½ð,8.980821918,31.17883456,21.42,11.03334354,5.264690791,4.664576839
020021.OF,¹úÌ©ÉÏÖ¤180½ðÈÚETFÁª½Ó,2019/5/28,2019/6/28,100,31,±»¶¯Ö¸ÊýÐÍ»ù½ð,9.090410959,65.26891522,2.24,5.863822945,15.40971251,10.01344485
610008.OF,ÐÅ´ï°ÄÒøÐÅÓÃÕ®Õ®È¯A,2019/11/28,2019/12/30,10,32,»ìºÏÕ®È¯ÐÍ»ù½ð£¨¶þ¼¶£©,6.967123288,4.841549296,11.29,0.203044001,0.017483424,4.608151997
610108.OF,ÐÅ´ï°ÄÒøÐÅÓÃÕ®Õ®È¯C,2019/11/28,2019/12/30,10,32,»ìºÏÕ®È¯ÐÍ»ù½ð£¨¶þ¼¶£©,6.967123288,4.88556338,11.01,0.036566599,0.027805147,0.043532937
161629.OF,ÈÚÍ¨Ö¤È¯·Ö¼¶,2019/2/28,2019/4/1,0.1,32,±»¶¯Ö¸ÊýÐÍ»ù½ð,4.791780822,24.88605287,4.45,0.592020484,0.582130155,1.08208361
001149.OF,»ã·á½úÐÅºãÉúÁúÍ·Ö¸ÊýC,2019/11/22,2019/12/25,5,33,±»¶¯Ö¸ÊýÐÍ»ù½ð,5.084931507,42.023701,6.9,0.22253309,0.273349633,0.03463892
540012.OF,»ã·á½úÐÅºãÉúÁúÍ·Ö¸ÊýA,2019/11/22,2019/12/25,5,33,±»¶¯Ö¸ÊýÐÍ»ù½ð,7.750684932,39.28896992,7.7,2.927455319,2.294572764,3.00624785
370027.OF,ÉÏÍ¶Ä¦¸ùÖÇÑ¡30»ìºÏ,2019/11/20,2019/12/23,100,33,Æ«¹É»ìºÏÐÍ»ù½ð,7.156164384,4.119223041,40.5,4.883423246,2.65154125,15.27446986
000706.OF,ÖÐÓÊ¶à²ßÂÔÁé»îÅäÖÃ»ìºÏ,2019/11/13,2019/12/16,500,33,Æ«¹É»ìºÏÐÍ»ù½ð,5.77260274,33.25519089,17.97,3.399901172,1.720390601,1.801274155
003254.OF,Ç°º£¿ªÔ´¶¦Ô£Õ®È¯A,2019/10/30,2019/12/2,10,33,»ìºÏÕ®È¯ÐÍ»ù½ð£¨¶þ¼¶£©,3.602739726,23.23943662,1.7,9.036256848,0.099278305,7.1441293
003255.OF,Ç°º£¿ªÔ´¶¦Ô£Õ®È¯C,2019/10/30,2019/12/2,10,33,»ìºÏÕ®È¯ÐÍ»ù½ð£¨¶þ¼¶£©,3.602739726,26.01232394,1.29,0.015382309,0.085709334,17.39924225
002360.OF,Ç°º£¿ªÔ´Çå½àÄÜÔ´»ìºÏC,2019/10/30,2019/12/2,500,33,Æ«¹É»ìºÏÐÍ»ù½ð,4.284931507,5.994641661,38.93,1.697242761,0.595099143,1.760092351
001278.OF,Ç°º£¿ªÔ´Çå½àÄÜÔ´»ìºÏA,2019/10/30,2019/12/2,500,33,Æ«¹É»ìºÏÐÍ»ù½ð,4.876712329,5.860683188,39.1,2.573435811,1.467322651,7.541907559
161628.OF,ÈÚÍ¨¾ü¹¤·Ö¼¶,2019/2/27,2019/4/1,0.1,33,±»¶¯Ö¸ÊýÐÍ»ù½ð,4.835616438,86.23518687,2.03,1.468144798,0.757923127,0.706145097
240005.OF,»ª±¦¶à²ßÂÔÔö³¤¿ª·Å,2018/1/10,2018/2/12,500,33,Æ«¹É»ìºÏÐÍ»ù½ð,15.98082192,32.98727395,11.53,16.86913375,11.35153903,12.50901326
002054.OF,ÖÐÒøÐÂ²Æ¸»»ìºÏA,2020/1/23,2020/2/26,500,34,Æ«¹É»ìºÏÐÍ»ù½ð,4.449315068,61.88881447,-0.84,0.234252512,0.041404778,0.145863805
002056.OF,ÖÐÒøÐÂ²Æ¸»»ìºÏC,2020/1/23,2020/2/26,500,34,Æ«¹É»ìºÏÐÍ»ù½ð,4.449315068,62.55860683,-1.28,1.492851134,1.054545133,3.456973571
000294.OF,»ª°²ÉúÌ¬ÓÅÏÈ»ìºÏ,2019/5/24,2019/6/27,50,34,Æ«¹É»ìºÏÐÍ»ù½ð,6.424657534,3.583389149,43.91,1.398851196,1.11072372,10.93644557
004044.OF,½ðÓ¥×ªÐÍ¶¯Á¦»ìºÏ,2020/2/24,2020/3/30,30,35,Æ«¹É»ìºÏÐÍ»ù½ð,2.454794521,70.39517749,-7.55,8.538413004,3.627352529,5.744779861
002844.OF,½ðÓ¥¶àÔª²ßÂÔ»ìºÏ,2020/2/24,2020/3/30,30,35,Æ«¹É»ìºÏÐÍ»ù½ð,3.726027397,21.33288681,28.42,2.639344949,0.520982543,1.064226897
001951.OF,½ðÓ¥¸Ä¸ïºìÀû»ìºÏ,2020/2/24,2020/3/30,30,35,Æ«¹É»ìºÏÐÍ»ù½ð,4.41369863,48.19156062,7.58,2.14216926,0.870742169,0.571832927
