代码,名称,暂停申购起始日,恢复申购日期,单日申购上限(万元),暂停申购天数,暂停申购原因,投资类型,基金成立年限,去年净值增长率,同类平均收益率,"同类基金区间收益排名
","同类基金区间收益排名(百分比)
","报告期净值增长率
[报告期]去年年报
过去1年
","报告期业绩比较基准增长率
","报告期净值增长率减基准增长率
","报告期净值增长率标准差减基准标准差
",基金规模2020,基金规模2018,基金规模2019,基金规模排名
540002.OF,汇丰晋信龙腾混合,2019-05-28,2019-06-27,100,30,为保护汇丰晋信龙腾混合型证券投资基金现有基金份额持有人的利益,偏股混合型基金,13.6,35.7313856,31.39015396,1230/2986,41.19223041,35.73,30.21,5.52,0.32,9.850185281,12.65631151,6.20942912,2301/9376
519089.OF,新华优选成长混合,2018-11-21,2018-12-21,500,30,"为保证新华优选成长混合型证券投资基金的稳定运作,保护基金份额持有人利益,以及根据《新华优选成长混合型证券投资基金基金合同》的相关规定,新华基金管理股份有限公司决定于2018年11月21日起限制新华优选成长混合型证券投资基金的大额申购(含定期定额投资及转换转入)业务。",偏股混合型基金,11.77260274,43.75125589,31.39015396,849/2986,28.43268587,43.77,29.43,14.34,1.11,6.268126867,3.270782451,10.1359109,2861/9376
004921.OF,华夏鼎瑞三个月定期开放债券A,2020-03-20,2020-04-20,5,31,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",长期纯债型基金,2.536986301,4.237139293,5.973972239,1209/2272,53.21302817,4.21,1.31,2.9,0,15.838066,15.11258909,15.40135139,1637/9376
590006.OF,中邮中小盘灵活配置混合,2019-11-01,2019-12-02,500,31,为保护本基金现有份额持有人利益。,平衡混合型基金,8.980821918,42.15955316,31.39015396,931/2986,31.17883456,42.16,20.74,21.42,0.35,4.664576839,11.03334354,5.264690791,3315/9376
020021.OF,国泰上证180金融ETF联接,2019-05-28,2019-06-28,100,31,保护基金份额持有人利益,被动指数型基金,9.090410959,31.37579311,37.97667335,716/1097,65.26891522,31.38,29.14,2.24,-0.01,10.01344485,5.863822945,15.40971251,2263/9376
000721.OF,兴业货币A,2020-01-02,2020-02-03,50000,32,"为了保证基金的平稳运作,保护现有基金份额持有人利益",货币式基金,5.736986301,2.278750679,2.546879012,562/649,86.59476117,2.2407,1.35,0.8907,0.0027,3.24748955,16.3527869,5.364821193,3835/9376
000722.OF,兴业货币B,2020-01-02,2020-02-03,50000,32,"为了保证基金的平稳运作,保护现有基金份额持有人利益",货币式基金,5.736986301,2.526794631,2.546879012,373/649,57.47303544,2.4867,1.35,1.1367,0.0027,51.95268284,117.3358677,52.21756166,588/9376
610008.OF,信达澳银信用债债券A,2019-11-28,2019-12-30,10,32,为保护基金份额持有人的利益,混合债券型基金（二级）,6.967123288,15.9516133,5.973972239,110/2272,4.841549296,15.65,4.36,11.29,0.57,4.608151997,0.203044001,0.017483424,3338/9376
610108.OF,信达澳银信用债债券C,2019-11-28,2019-12-30,10,32,为保护基金份额持有人的利益,混合债券型基金（二级）,6.967123288,15.6845139,5.973972239,111/2272,4.88556338,15.37,4.36,11.01,0.58,0.043532937,0.036566599,0.027805147,8539/9376
161629.OF,融通证券分级,2019-02-28,2019-04-01,0.1,32,"为保证本基金的稳定运作,保护现有基金份额持有人利益",被动指数型基金,4.791780822,46.61678076,37.97667335,273/1097,24.88605287,46.75,42.3,4.45,-0.03,1.08208361,0.592020484,0.582130155,5663/9376
002490.OF,金鹰元祺信用债,2020-02-26,2020-03-30,30,33,为保证本基金的稳定运作以及为保护金鹰元祺信用债债券型证券投资基金基金份额持有人的利益。,长期纯债型基金,4.068493151,7.060574273,5.973972239,449/2272,19.76232394,7.05,4.33,2.72,0.15,1.122130668,0.22676488,0.268280026,5606/9376
001149.OF,汇丰晋信恒生龙头指数C,2019-11-22,2019-12-25,5,33,为保护汇丰晋信恒生A股行业龙头指数证券投资基金现有基金份额持有人的利益,被动指数型基金,5.084931507,39.62788436,37.97667335,461/1097,42.023701,39.65,32.75,6.9,0,0.03463892,0.22253309,0.273349633,8609/9376
540012.OF,汇丰晋信恒生龙头指数A,2019-11-22,2019-12-25,5,33,为保护汇丰晋信恒生A股行业龙头指数证券投资基金现有基金份额持有人的利益,被动指数型基金,7.750684932,40.43664264,37.97667335,431/1097,39.28896992,40.45,32.75,7.7,0,3.00624785,2.927455319,2.294572764,3969/9376
370027.OF,上投摩根智选30混合,2019-11-20,2019-12-23,100,33,"为保证上投摩根智选30混合型证券投资基金的稳定运作,保护基金份额持有人利益",偏股混合型基金,7.156164384,70.09209968,31.39015396,123/2986,4.119223041,70.23,29.73,40.5,0.27,15.27446986,4.883423246,2.65154125,1693/9376
000706.OF,中邮多策略灵活配置混合,2019-11-13,2019-12-16,500,33,为保护本基金现有份额持有人利益,偏股混合型基金,5.77260274,40.89521021,31.39015396,993/2986,33.25519089,40.9,22.93,17.97,0.43,1.801274155,3.399901172,1.720390601,4876/9376
003254.OF,前海开源鼎裕债券A,2019-10-30,2019-12-02,10,33,"为了保证基金的平稳运作,维护基金份额持有人利益。",混合债券型基金（二级）,3.602739726,6.380159279,5.973972239,528/2272,23.23943662,6.23,4.53,1.7,0.17,7.1441293,9.036256848,0.099278305,2701/9376
003255.OF,前海开源鼎裕债券C,2019-10-30,2019-12-02,10,33,"为了保证基金的平稳运作,维护基金份额持有人利益。",混合债券型基金（二级）,3.602739726,5.95501001,5.973972239,591/2272,26.01232394,5.82,4.53,1.29,0.17,17.39924225,0.015382309,0.085709334,1540/9376
002360.OF,前海开源清洁能源混合C,2019-10-30,2019-12-02,500,33,"为了保证基金的平稳运作,维护基金份额持有人利益。",偏股混合型基金,4.284931507,65.32376944,31.39015396,179/2986,5.994641661,65.32,26.39,38.93,0.25,1.760092351,1.697242761,0.595099143,4909/9376
001278.OF,前海开源清洁能源混合A,2019-10-30,2019-12-02,500,33,"为了保证基金的平稳运作,维护基金份额持有人利益。",偏股混合型基金,4.876712329,65.48905884,31.39015396,175/2986,5.860683188,65.49,26.39,39.1,0.26,7.541907559,2.573435811,1.467322651,2619/9376
371020.OF,上投摩根纯债债券A,2019-05-24,2019-06-26,100,33,"为保证上投摩根纯债债券型证券投资基金的稳定运作,保护基金份额持有人利益",长期纯债型基金,10.85753425,4.436622958,5.973972239,1107/2272,48.72359155,4.44,1.1,3.34,0.04,1.408665495,4.365122687,13.03506913,5266/9376
371120.OF,上投摩根纯债债券B,2019-05-24,2019-06-26,100,33,"为保证上投摩根纯债债券型证券投资基金的稳定运作,保护基金份额持有人利益",长期纯债型基金,10.85753425,4.058234309,5.973972239,1325/2272,58.31866197,4.06,1.1,2.96,0.04,0.523407393,0.298974922,1.362879532,6753/9376
161628.OF,融通军工分级,2019-02-27,2019-04-01,0.1,33,"为保证本基金的稳定运作,保护现有基金份额持有人利益",被动指数型基金,4.835616438,23.03747137,37.97667335,946/1097,86.23518687,23.06,21.03,2.03,-0.01,0.706145097,1.468144798,0.757923127,6329/9376
005573.OF,东吴悦秀纯债A,2018-10-18,2018-11-20,50,33,为保护基金份额持有人利益,长期纯债型基金,2.021917808,3.399489123,5.973972239,1755/2272,77.24471831,3.38,1.31,2.07,0.03,1.160365311,——,22.56034701,5552/9376
005574.OF,东吴悦秀纯债C,2018-10-18,2018-11-20,50,33,为保护基金份额持有人利益,长期纯债型基金,2.021917808,3.322193638,5.973972239,1809/2272,79.62147887,3.3,1.31,1.99,0.03,8.3674E-06,——,0.995013855,9349/9376
240005.OF,华宝多策略增长开放,2018-01-10,2018-02-12,500,33,为保护基金份额持有人利益,偏股混合型基金,15.98082192,41.08149651,31.39015396,985/2986,32.98727395,41.08,29.55,11.53,0.11,12.50901326,16.86913375,11.35153903,1900/9376
002054.OF,中银新财富混合A,2020-01-23,2020-02-26,500,34,保护基金份额持有人利益,偏股混合型基金,4.449315068,20.64772012,31.39015396,1848/2986,61.88881447,20.65,21.49,-0.84,-0.28,0.145863805,0.234252512,0.041404778,7933/9376
002056.OF,中银新财富混合C,2020-01-23,2020-02-26,500,34,保护基金份额持有人利益,偏股混合型基金,4.449315068,20.20892273,31.39015396,1868/2986,62.55860683,20.21,21.49,-1.28,-0.28,3.456973571,1.492851134,1.054545133,3724/9376
000294.OF,华安生态优先混合,2019-05-24,2019-06-27,50,34,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年5月24日起暂停华安生态优先混合型证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,6.424657534,71.00695909,31.39015396,107/2986,3.583389149,71.1,27.19,43.91,0.21,10.93644557,1.398851196,1.11072372,2044/9376
