code,name,pause_start,pause_end,limit_amount,limit_days,types,est_years,rank,"minus_benchmark
",scale2018,scale2019,scale2020,end_flag
540002.OF,汇丰晋信龙腾混合,2019/5/28,2019/6/27,100,30,偏股混合型基金,13.6,41.19223041,5.52,12.65631151,6.20942912,9.850185281,0
519089.OF,新华优选成长混合,2018/11/21,2018/12/21,500,30,偏股混合型基金,11.77260274,28.43268587,14.34,3.270782451,10.1359109,6.268126867,0
590006.OF,中邮中小盘灵活配置混合,2019/11/1,2019/12/2,500,31,平衡混合型基金,8.980821918,31.17883456,21.42,11.03334354,5.264690791,4.664576839,0
020021.OF,国泰上证180金融ETF联接,2019/5/28,2019/6/28,100,31,被动指数型基金,9.090410959,65.26891522,2.24,5.863822945,15.40971251,10.01344485,0
610008.OF,信达澳银信用债债券A,2019/11/28,2019/12/30,10,32,混合债券型基金（二级）,6.967123288,4.841549296,11.29,0.203044001,0.017483424,4.608151997,0
610108.OF,信达澳银信用债债券C,2019/11/28,2019/12/30,10,32,混合债券型基金（二级）,6.967123288,4.88556338,11.01,0.036566599,0.027805147,0.043532937,0
161629.OF,融通证券分级,2019/2/28,2019/4/1,0.1,32,被动指数型基金,4.791780822,24.88605287,4.45,0.592020484,0.582130155,1.08208361,0
001149.OF,汇丰晋信恒生龙头指数C,2019/11/22,2019/12/25,5,33,被动指数型基金,5.084931507,42.023701,6.9,0.22253309,0.273349633,0.03463892,0
540012.OF,汇丰晋信恒生龙头指数A,2019/11/22,2019/12/25,5,33,被动指数型基金,7.750684932,39.28896992,7.7,2.927455319,2.294572764,3.00624785,0
370027.OF,上投摩根智选30混合,2019/11/20,2019/12/23,100,33,偏股混合型基金,7.156164384,4.119223041,40.5,4.883423246,2.65154125,15.27446986,0
000706.OF,中邮多策略灵活配置混合,2019/11/13,2019/12/16,500,33,偏股混合型基金,5.77260274,33.25519089,17.97,3.399901172,1.720390601,1.801274155,0
003254.OF,前海开源鼎裕债券A,2019/10/30,2019/12/2,10,33,混合债券型基金（二级）,3.602739726,23.23943662,1.7,9.036256848,0.099278305,7.1441293,0
003255.OF,前海开源鼎裕债券C,2019/10/30,2019/12/2,10,33,混合债券型基金（二级）,3.602739726,26.01232394,1.29,0.015382309,0.085709334,17.39924225,0
002360.OF,前海开源清洁能源混合C,2019/10/30,2019/12/2,500,33,偏股混合型基金,4.284931507,5.994641661,38.93,1.697242761,0.595099143,1.760092351,0
001278.OF,前海开源清洁能源混合A,2019/10/30,2019/12/2,500,33,偏股混合型基金,4.876712329,5.860683188,39.1,2.573435811,1.467322651,7.541907559,0
161628.OF,融通军工分级,2019/2/27,2019/4/1,0.1,33,被动指数型基金,4.835616438,86.23518687,2.03,1.468144798,0.757923127,0.706145097,0
240005.OF,华宝多策略增长开放,2018/1/10,2018/2/12,500,33,偏股混合型基金,15.98082192,32.98727395,11.53,16.86913375,11.35153903,12.50901326,0
002054.OF,中银新财富混合A,2020/1/23,2020/2/26,500,34,偏股混合型基金,4.449315068,61.88881447,-0.84,0.234252512,0.041404778,0.145863805,0
002056.OF,中银新财富混合C,2020/1/23,2020/2/26,500,34,偏股混合型基金,4.449315068,62.55860683,-1.28,1.492851134,1.054545133,3.456973571,0
000294.OF,华安生态优先混合,2019/5/24,2019/6/27,50,34,偏股混合型基金,6.424657534,3.583389149,43.91,1.398851196,1.11072372,10.93644557,0
004044.OF,金鹰转型动力混合,2020/2/24,2020/3/30,30,35,偏股混合型基金,2.454794521,70.39517749,-7.55,8.538413004,3.627352529,5.744779861,0
002844.OF,金鹰多元策略混合,2020/2/24,2020/3/30,30,35,偏股混合型基金,3.726027397,21.33288681,28.42,2.639344949,0.520982543,1.064226897,0
001951.OF,金鹰改革红利混合,2020/2/24,2020/3/30,30,35,偏股混合型基金,4.41369863,48.19156062,7.58,2.14216926,0.870742169,0.571832927,0
