,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿),剩余期限,是否永续
0,20国开15,99.88,3.714,-0.1,3.7183,,9.8685,否
1,20附息国债17,99.97,3.285,,3.3115,,6.989,否
2,20附息国债14,99.57,3.0348,-0.27,3.0587,,2.9123,否
3,20国开10,94.86,3.74,-0.25,3.7479,,9.5288,否
4,20国开12,99.69,3.41,0.25,3.4108,,4.6,否
5,18国开05,108.49,3.5175,0.69,3.4728,,7.1749,否
6,20附息国债11,99.42,2.9925,0.33,2.992,,1.6822,否
7,20附息国债12,99.24,3.853,-2.2,3.8659,,29.7699,否
8,20附息国债16,99.96,3.275,0.5,3.2778,,9.9507,否
9,20附息国债13,99.54,3.1225,1.25,3.1278,,4.874,否
10,20平安银行CD312,99.77,2.7492,,2.7492,,0.0765,否
11,20国开07,99.39,3.2375,-0.5,3.2511,,2.6658,否
12,20国开02,96.96,3.23,-3.18,3.1973,,2.337,否
13,20附息国债08,97.52,3.279,1.9,3.2672,,6.4904,否
14,20附息国债06,95.04,3.295,1.0,3.2863,,9.4521,否
15,20农业银行CD162,99.79,2.4997,,2.4997,,0.0765,否
16,20华夏银行CD455,99.77,2.7492,,2.7492,,0.0765,否
17,16国开06,100.01,2.8598,-2.04,2.865,,0.1995,否
18,20附息国债15,100.03,2.85,-2.25,2.8589,,0.9507,否
19,20附息国债05,95.30,3.165,2.0,3.1634,,4.337,否
20,18附息国债21,100.28,2.815,-1.5,2.79,,0.8438,否
21,20建设银行CD168,99.79,2.4997,,2.4997,,0.0765,否
22,20进出05,98.05,3.43,-0.5,3.4757,,4.2329,否
23,20平安证券CP012,100.00,3.2291,,3.2291,,0.2384,否
24,18国开12,100.50,2.9699,1.0,2.9599,,0.7507,否
25,19农发06,100.12,3.7205,-0.95,3.6449,,8.5945,否
26,20农发10,100.32,3.75,-1.0,3.8592,,9.8849,否
27,19国开03,99.89,3.335,-0.5,3.3369,,3.153,否
28,20民生银行CD504,99.24,3.0001,-19.96,3.0001,,0.1557,否
29,20浦发银行CD072,97.25,3.0902,4.0,3.0902,,0.2158,否
30,20贴现国债56,99.29,2.8499,-0.03,2.8085,,0.2104,否
31,20国开16,99.80,2.94,-2.0,2.9537,,0.7918,否
32,20中国银行CD051,98.54,3.1002,1.0,3.0837,,0.1776,否
33,20贴现国债58,99.30,2.83,-2.11,2.8553,,0.2301,否
34,20贴现国债53,99.34,2.6998,-5.0,2.6997,,0.153,否
35,20国开08,97.78,3.425,0.5,3.3811,,4.5397,否
36,20国开03,99.26,3.4261,0.86,3.4348,,4.0929,否
37,20飞驰建普2A,99.86,,,,,2.1366,否
38,20太原国投MTN001,100.00,4.4998,,4.4998,,4.9918,否
39,20天津农村商业银行CD596,99.13,3.5689,11.98,3.5076,,0.2356,否
40,20附息国债10,99.58,2.83,-1.01,2.8319,,0.6055,否
41,20进出06,99.61,2.8712,1.13,2.8543,,0.3096,否
42,20农发06,99.50,2.9597,-3.03,2.9609,,0.5781,否
