,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,100.02,3.6960,-1.8,3.7001,
1,20国开10,94.97,3.7250,-1.5,3.7322,
2,20国开12,99.77,3.3925,-1.75,3.4037,
3,20附息国债13,99.63,3.1025,-2.0,3.1099,
4,20附息国债14,99.64,3.0100,-2.48,3.0221,
5,20附息国债17,100.17,3.2530,-3.2,3.2688,
6,20附息国债06,95.24,3.2700,-2.5,3.2743,
7,20兴业银行CD517,99.77,2.7496,,2.7496,
8,20附息国债12,99.68,3.8280,-2.5,3.8524,
9,20附息国债16,100.13,3.2550,-2.0,3.2649,
10,20附息国债05,95.41,3.1375,-2.75,3.1511,
11,20贴现国债48,99.38,2.6798,1.01,2.6798,
12,20附息国债08,97.64,3.2575,-2.15,3.2647,
13,20附息国债11,99.45,2.9750,-1.86,2.9819,
14,20浦发银行CD072,97.27,3.0000,-9.02,3.0000,
15,20农业银行CD163,99.79,2.5001,,2.5001,
16,18农发12,100.35,2.9200,-18.84,2.9772,
17,20附息国债15,100.04,2.8425,-0.75,2.8523,
18,19附息国债09,99.92,2.8501,48.77,2.4320,
19,20附息国债10,99.59,2.8200,-1.0,2.8130,
20,20国开02,97.06,3.1850,-4.5,3.1403,
21,19国开03,99.85,3.3500,1.5,3.3439,
22,20附息国债04,91.96,3.8500,-1.9,3.8588,
23,20华夏银行CD456,99.77,2.7496,,2.7496,
24,20农发03,99.34,2.9400,-1.44,2.9523,
25,20国开07,99.48,3.2050,-3.25,3.2496,
26,14国开28,101.11,2.9700,-1.0,2.9725,
27,19国开08,100.12,3.3800,0.45,3.3799,
28,20进出14,99.69,3.0700,11.0,2.9816,
29,20贴现国债49,98.64,2.8001,-3.49,2.8000,
30,20国开16,99.83,2.9100,-3.0,2.9294,
31,18附息国债21,100.29,2.8000,-1.5,2.7638,
32,13附息国债18,103.80,2.6150,1.0,2.6283,
33,20国开11,99.30,2.8800,-4.77,2.9002,
34,20民生银行CD214,97.69,3.1701,-2.0,3.1761,
35,20民生银行CD555,96.82,3.2800,,3.2575,
36,20浦发银行CD444,99.25,2.9898,-0.05,2.9900,
37,20国开03,99.39,3.3900,-3.61,3.4401,
38,16中国华融债02B,100.01,3.5230,-15.12,3.5230,
39,20广发银行CD086,97.68,3.1699,,3.1749,
40,07特别国债02,103.09,2.8800,1.0,2.8800,
41,20平安银行CD313,99.77,2.7496,,2.7496,
42,20兴业银行小微债03,97.83,3.5078,-4.22,3.5104,
43,20兴业银行CD432,99.25,2.9997,-11.45,3.0182,
44,19国开04,101.21,3.4200,-2.39,3.4547,
45,20辽宁债34,99.95,3.3076,,3.3024,
46,16进出03,99.52,3.4302,2.02,3.4071,
47,18国开12,100.51,2.9500,-1.99,2.9466,
48,20进出05,98.15,3.4050,-2.5,3.4296,
49,20国开08,97.88,3.4000,-2.5,3.4241,
50,20青岛城投MTN004,100.00,4.0999,,4.0999,
51,19国开05,98.61,3.6806,-1.94,3.6640,
52,19附息国债13,99.54,3.0675,-1.75,3.0736,
53,20华夏银行CD177,98.08,3.0002,-9.99,3.0002,
