,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,100.17,3.6775,-0.5,3.6787,
1,20贴现国债61,99.33,2.7100,,2.6988,
2,20附息国债12,99.55,3.8350,1.0,3.8303,
3,20国开10,95.06,3.7150,-0.5,3.7085,
4,20附息国债16,99.96,3.2750,1.0,3.2772,
5,20附息国债13,99.75,3.0750,-1.25,3.0767,
6,20国开12,99.90,3.3600,-1.31,3.3613,
7,20国开07,99.62,3.1500,1.0,3.1400,
8,20附息国债11,99.59,2.8900,-2.0,2.9032,
9,20附息国债14,99.88,2.9225,-2.24,2.9325,
10,20附息国债17,100.04,3.2739,-1.86,3.2723,
11,20附息国债06,95.13,3.2850,-0.51,3.2852,
12,20附息国债09,98.52,2.9700,-2.04,2.9709,
13,20附息国债05,95.54,3.1100,-1.54,3.1112,
14,20国开03,99.47,3.3700,-0.25,3.3795,
15,19国开03,100.23,3.2200,-4.0,3.2480,
16,20国开02,97.23,3.1200,-4.19,3.1469,
17,20华泰证券CP010,100.00,2.9398,,2.9398,
18,20附息国债08,97.68,3.2525,-1.76,3.2610,
19,20附息国债02,99.29,2.8300,-6.0,2.8569,
20,20附息国债15,100.14,2.7250,-5.5,2.7721,
21,20平安银行CD284,99.28,2.6803,-13.95,2.7662,
22,20国开08,98.06,3.3575,-1.25,3.3692,
23,20贴现国债47,98.71,2.6427,-0.72,2.5566,
24,19国开07,100.21,3.0200,-7.0,3.0330,
25,20进出14,99.91,2.8300,1.0,2.8270,
26,20附息国债01,99.97,2.7499,-12.57,2.8219,
27,20建设银行二级,99.23,4.2966,-0.01,4.2753,
28,18国开14,103.59,3.3357,-6.93,3.3114,
29,20农发06,99.61,2.8000,-2.0,2.7761,
30,20兴业银行CD453,99.28,2.6699,-7.98,2.7659,
31,20电网SCP046,99.84,3.0000,-3.0,3.0000,
32,19进出05,99.95,3.2950,0.73,3.2822,
33,14附息国债12,104.18,2.7400,0.25,2.7490,
34,19附息国债09,100.19,2.3743,0.58,2.3907,
35,16进出03,98.90,3.5642,17.5,3.4041,
36,17附息国债21,101.92,2.6400,-4.31,2.6396,
37,15附息国债16,102.47,2.9300,,3.0349,
38,20浦发银行CD478,97.84,2.9000,-54.29,2.9043,
39,20国开11,99.41,2.7047,-2.52,2.7252,
40,20进出15,100.19,3.3859,0.09,3.3757,
41,20东方资本债01,100.00,4.8899,,4.8933,
42,19国开02,100.13,2.9000,-2.0,2.9140,
43,20农发03,99.45,2.7399,-6.0,2.7968,
44,20进出03,97.78,3.1800,1.0,3.1697,
45,18农发12,100.46,2.7900,-5.0,2.8171,
46,20国家能源SCP002,99.77,2.9501,0.03,2.9501,
47,20中信银行CD282,97.84,2.9000,-127.24,2.9077,
48,20国开01,99.97,2.6999,1.0,2.6316,
49,20浦发银行CD517,96.99,3.1000,-10.0,3.2133,
50,18附息国债05,103.24,2.9400,-1.0,2.9400,
51,20附息国债03,98.54,2.9300,-3.91,2.9557,
52,20附息国债18,100.15,2.8500,-2.5,2.8546,
53,20农发02,97.93,3.1500,-2.5,3.1789,
54,20中国银行永续债03,100.00,4.6999,1.0,4.6999,
55,18平安银行01,100.66,3.1100,-9.0,3.1125,
56,20国元证券CP007,100.00,2.9998,,2.9979,
57,20川交投MTN002,100.00,7.0166,,7.0167,
58,19国开08,100.35,3.3099,-0.01,3.3170,
59,20中信银行CD324,97.09,3.0012,-14.85,3.0290,
60,20抗疫国债04,96.25,3.3200,-0.25,3.3040,
61,18国开08,100.46,2.7001,-9.66,2.7270,
62,19国开10,99.66,3.6950,-0.19,3.6952,
63,20进出05,98.31,3.3650,-2.0,3.3790,
64,19农发07,100.05,3.0780,-4.1,3.0799,
65,20农业银行CD136,99.26,2.8076,-6.22,2.8290,
66,19国开05,98.69,3.6700,-0.5,3.6019,
67,20贴现国债52,98.67,2.6800,-4.43,2.6992,
68,20长电SCP005,99.92,3.0410,-0.89,3.0169,
69,20越秀集团SCP009,99.85,3.0500,-3.71,3.0491,
70,20民生银行CD504,99.26,2.9001,4.98,2.8660,
71,20华电SCP010,99.79,2.9499,-0.01,2.9486,
72,14附息国债24,100.87,2.6400,-4.0,2.6400,
73,18华夏银行01,100.44,2.9600,1.0,2.9600,
74,20国开05,95.20,3.6925,-0.75,3.6981,
75,18农发09,100.66,2.7001,-9.99,2.7447,
76,15进出14,102.11,3.3795,2.01,3.3794,
77,20光明SCP007,99.86,3.0498,-8.05,3.0464,
78,20农发07,99.68,3.1850,0.5,3.1807,
79,20附息国债10,99.66,2.7150,-3.0,2.7440,
80,18附息国债07,100.25,2.5599,-4.5,2.5817,
81,20南航集SCP008,99.90,2.9997,0.01,2.9997,
82,20平安银行CD325,97.69,3.1497,,3.1324,
83,20贴现国债48,99.40,2.5496,-5.07,2.5923,
84,20附息国债04,92.22,3.8348,-0.27,3.8590,
85,18附息国债28,100.68,3.0700,-1.0,3.0655,
86,18附息国债23,101.09,2.8800,0.02,2.8792,
87,20柳钢集团SCP008,99.81,4.0936,,4.0992,
88,19农发06,100.24,3.7050,-0.5,3.7120,
89,20光大银行永续债,98.65,4.9190,10.94,4.9190,
90,20德意志银行CD002,98.41,3.2497,,3.2497,
91,18黑龙江04,100.57,2.7943,0.55,2.7943,
