,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,100.56,3.6300,2.23,3.6132,
1,20附息国债16,100.34,3.2294,1.69,3.2179,
2,20国开10,95.32,3.6825,3.25,3.6619,
3,20附息国债13,99.93,3.0350,2.75,3.0141,
4,20贴现国债47,98.75,2.4800,-0.02,2.4319,
5,20附息国债12,100.17,3.8000,0.48,3.7858,
6,20附息国债06,95.49,3.2400,-0.75,3.2402,
7,20附息国债11,99.68,2.8375,1.75,2.8309,
8,20国开12,100.17,3.2950,2.25,3.2860,
9,20南电SCP012,100.03,2.8836,2.22,2.9190,
10,20民生银行二级,97.00,4.1350,-1.4,4.1420,
11,20国开03,99.90,3.2575,0.25,3.2637,
12,20附息国债05,95.75,3.0600,-0.1,3.0499,
13,20国开07,99.84,3.0600,2.75,3.0540,
14,20中电投SCP031,99.88,2.8799,-195.84,2.8788,
15,20附息国债09,98.64,2.9250,1.0,2.9276,
16,20附息国债03,98.65,2.8800,-1.0,2.8704,
17,20附息国债17,100.30,3.2300,0.78,3.2212,
18,20农发10,100.74,3.6975,4.0,3.5853,
19,19国开10,99.74,3.6850,1.5,3.6605,
20,18国开12,100.68,2.6699,-1.0,2.6892,
21,20附息国债14,99.96,2.8925,1.1,2.8862,
22,20中国银行CD088,99.28,2.6004,-8.96,2.6045,
23,20中信银行CD212,98.52,3.0239,32.38,3.0120,
24,20建设银行CD185,97.09,2.9997,,2.9998,
25,20贴现国债62,99.38,2.4801,2.43,2.4891,
26,18国开05,108.76,3.4700,1.5,3.4559,
27,20附息国债15,100.21,2.6400,-1.0,2.6508,
28,18附息国债07,100.25,2.5200,4.33,2.4806,
29,20附息国债18,100.27,2.7875,-1.41,2.7829,
30,19国开07,100.37,2.8950,2.5,2.8871,
31,20进出15,100.56,3.3000,1.0,3.2842,
32,20国开08,98.27,3.3075,2.75,3.2859,
33,19附息国债16,99.94,3.1300,0.5,3.1246,
34,15附息国债16,102.33,2.9608,-1.21,2.9608,
35,20华夏银行CD488,99.78,2.6077,,2.6077,
36,20中电投MTN025,100.00,6.4369,,6.4369,
37,19农发07,100.21,2.9700,1.0,2.9761,
38,19国开03,100.37,3.1700,2.5,3.1426,
39,20民生银行CD570,97.09,3.0000,,3.0184,
40,19国开14,99.98,2.9800,1.0,2.9695,
41,20进出12,99.94,2.9850,1.5,2.9888,
42,19民生银行永续债,100.70,4.6160,-22.46,4.6075,
43,20农业银行CD174,97.09,2.9997,,2.9997,
44,20湖南轨道SCP002,100.00,3.3797,,3.3797,
45,18国开08,100.47,2.6001,2.71,2.5935,
46,19附息国债03,99.90,2.7700,1.0,2.7614,
47,19国开08,100.64,3.2200,2.5,3.2014,
48,18国开03,100.41,2.4898,-1.03,2.4738,
49,20农发04,94.36,3.6850,2.5,3.6176,
50,20中国银行CD012,98.01,2.7001,-28.0,2.7021,
51,20光大银行CD192,97.14,2.9300,3.01,2.9300,
52,20华夏银行CD485,99.78,2.6077,,2.6077,
53,20国开11,99.48,2.6001,-0.98,2.6019,
54,19进出08,100.41,3.0000,1.0,2.9950,
55,20附息国债08,97.98,3.2000,1.0,3.2024,
56,20抗疫国债04,96.62,3.2750,-0.61,3.2781,
57,20贴现国债46,99.47,1.0032,0.18,0.9935,
58,16国开05,98.87,3.9000,-1.5,3.8994,
59,20建设银行CD072,98.63,2.6104,-41.98,2.6119,
60,19国开02,100.27,2.7700,-6.0,2.7775,
61,20工商银行二级01,100.00,4.1980,-9.88,4.2656,
62,20民生银行CD182,97.98,2.7701,-2.15,2.7745,
63,18国开10,103.11,3.5594,-4.06,3.5650,
64,20交通银行二级,95.39,3.8311,1.0,3.8310,
65,20华夏银行CD028,97.23,2.5902,-10.98,2.5835,
66,20平安银行CD061,97.35,2.6503,-12.0,2.6679,
67,20农发清发01,99.24,2.8900,-1.74,2.8938,
68,20国开16,100.02,2.6500,-0.72,2.6688,
69,18农发06,106.88,3.5700,14.08,3.5533,
70,19附息国债02,99.97,2.5796,-3.06,2.5628,
71,20青岛国信MTN009,100.00,7.2698,,7.2698,
72,20中信银行CD330,97.07,3.0198,,3.0198,
73,20平安银行CD222,98.50,3.1554,45.56,3.0618,
74,16国开10,99.42,3.2992,-0.08,3.3116,
75,20汉江国资SCP008,100.00,3.5896,,3.5874,
76,20华夏银行CD487,97.07,3.0200,,3.0199,
77,19附息国债11,99.87,2.8300,-1.0,2.8284,
78,19交通银行01,100.03,3.3300,1.0,3.3300,
79,19兴业绿色金融01,100.45,3.2400,1.0,3.2400,
80,19平安银行永续债01,97.76,4.7271,-4.61,4.7271,
81,20浙商银行CD128,99.34,2.7000,,2.7000,
82,20建设银行CD138,98.61,2.6800,1.0,2.6873,
83,11附息国债02,100.15,1.7951,-12.26,1.7974,
84,11附息国债15,100.69,2.5359,-2.11,2.5366,
85,11附息国债08,100.32,2.4199,-3.88,2.4192,
86,20重庆农村商行CD241,98.54,2.8986,-4.12,2.8986,
87,20民生银行CD504,99.28,2.6703,-2.0,2.6703,
88,20浦发银行CD464,99.27,2.6633,-3.67,2.6633,
89,16进出16,100.54,2.7143,-8.57,2.7073,
90,19铁道09,99.68,3.4600,-5.0,3.4600,
91,16铁道MTN002,100.25,2.8501,-41.31,2.8629,
92,20农发02,98.11,3.0700,1.19,3.0638,
93,20附息国债10,99.75,2.5900,-1.99,2.6744,
94,17光大银行二级01,101.10,4.3900,-0.53,4.3907,
95,18国开11,101.74,3.0584,-0.32,3.0595,
96,20抗疫国债03,95.87,3.2800,-0.1,3.2796,
97,17华夏银行二级01,101.43,4.5334,-0.54,4.5333,
98,19附息国债15,99.06,3.2525,-0.2,3.2501,
99,20进出03,98.03,3.0750,1.5,3.0633,
100,20宝钢SCP016,99.91,3.1008,7.1,3.0976,
101,20农业银行CD083,98.62,2.6498,-5.04,2.6351,
102,19国开05,98.76,3.6600,3.0,3.6432,
103,20国开02,97.46,3.0231,-0.19,3.0375,
104,20光大集团SCP024,99.90,2.8002,,2.8393,
105,20光大银行永续债,99.12,4.8066,6.28,4.7892,
106,20中建材MTN002,96.10,3.9900,-1.0,3.9985,
107,20广发银行二级01,98.90,4.3982,-1.34,4.3982,
108,20中国银行二级01,99.22,4.2978,0.05,4.2978,
109,20中信银行二级,97.39,4.2024,-1.69,4.2024,
110,20光大银行CD105,98.11,2.7200,-8.01,2.7067,
111,20武汉农商行CD089,99.16,3.4496,,3.4496,
112,16农发08,100.27,3.3100,1.0,3.2979,
113,16国开06,100.06,2.4697,-2.05,2.4700,
114,19国开04,101.77,3.3000,-1.0,3.3053,
115,20建设银行CD105,98.62,2.6601,-53.99,2.6420,
116,17进出03,103.39,3.4941,3.41,3.4941,
117,20温州银行CD219,99.16,3.4496,,3.4496,
118,19农发08,101.08,3.4100,1.0,3.4071,
119,19附息国债09,100.16,2.4108,-27.92,2.4266,
120,18农发02,100.18,2.5003,0.07,2.5196,
121,20温州银行CD218,99.72,3.2998,,3.2998,
122,20陕建控股PPN001,97.91,4.5274,-4.02,4.5277,
123,20铁道04,98.80,3.7190,-3.1,3.7302,
124,20中信银行CD233,98.19,4.4492,-0.41,4.4492,
125,20南京银行二级01,95.49,3.9770,-1.0,3.9770,
126,20广发银行CD140,97.14,2.9300,,2.9300,
127,20重庆三峡银行CD226,99.16,3.4496,,3.4496,
128,20平安银行CD202,97.14,2.9300,1.0,2.9300,
129,20光穗化工ABN001优先,100.28,,,,
130,20兴业银行CD329,97.15,2.9300,-22.0,2.9300,
131,20广发银行CD138,97.15,2.9300,,2.9300,
132,20邮储银行永续债,96.26,4.6812,-3.74,4.6812,
133,18农业银行二级01,101.11,4.2665,-0.15,4.2665,
134,20农业银行CD076,98.63,2.6603,2.01,2.6498,
135,20建设银行二级,99.22,4.2974,0.19,4.2974,
136,20贴现国债56,99.35,2.4596,-2.06,2.4574,
137,19河南23,99.72,3.2600,1.0,3.2600,
138,19工商银行永续债,99.75,4.5185,-0.15,4.5039,
139,20电网SCP048,99.97,2.9205,2.07,2.9056,
140,18国开04,103.52,3.0382,-0.18,3.0397,
141,16农发03,100.02,2.3309,1.0,2.2986,
142,19海南债19,99.68,3.2600,,3.2600,
143,19华夏银行永续债,100.74,4.6077,-0.23,4.6077,
144,17国开06,101.13,3.1174,21.97,3.0910,
145,20上海银行CD306,99.34,2.7000,,2.7000,
146,16农发13,100.09,2.6001,-4.97,2.6085,
147,18附息国债28,100.88,3.0250,-1.05,3.0248,
148,20宁波银行小微债01,98.89,3.4500,-3.0,3.4500,
149,20江苏债05,96.11,3.5600,,3.5600,
150,20贴现国债55,99.33,2.6498,-4.02,2.6037,
151,20附息国债04,92.30,3.8300,2.0,3.8242,
152,20龙源电力SCP016,99.95,2.8008,-10.0,2.8006,
153,15国开04,101.14,2.8000,-12.35,2.8888,
154,20北京债23,95.69,3.5800,,3.5800,
155,14附息国债12,103.97,2.7950,1.0,2.7817,
156,19国开15,98.41,3.6645,0.44,3.6509,
157,20贴现国债43,98.75,2.4404,-3.95,2.4701,
158,20华夏银行CD348,98.52,3.0704,1.01,3.0704,
159,20广发银行CD242,97.13,2.9496,-0.02,2.9496,
160,19进出05,100.20,3.2100,3.0,3.1857,
161,20海通证券CP008,100.00,2.8642,-5.56,2.8678,
162,20进出06,99.77,2.4800,-5.99,2.4814,
163,20贴现国债50,99.39,2.2002,-10.99,2.2496,
164,20贴现国债57,98.70,2.5701,1.0,2.5662,
165,20中信银行CD008,97.27,2.5901,-8.96,2.5981,
166,20浦发银行CD513,96.49,3.6459,-0.23,3.2530,
167,20中国信达债02BC(品种一),98.54,3.5391,-21.33,3.5391,
168,20中国银行CD081,99.29,2.5704,-3.0,2.5704,
169,17农业银行二级,101.18,4.2452,-1.17,4.2459,
170,20福州城投MTN006,100.00,4.0500,,4.0500,
171,20闽高速SCP005,99.89,3.1042,-4.02,3.1162,
172,20平安银行CD331,100.00,2.9326,,2.9326,
173,20国开01,100.00,2.3305,-2.91,2.3593,
174,20京城投SCP003,100.00,3.5896,,3.5896,
175,20附息国债07,96.11,3.9082,-0.06,3.9042,
176,20渤海银行CD513,98.22,3.6501,70.11,3.1417,
177,19进出11,100.58,3.7928,0.03,3.7901,
178,19安徽债13,99.85,3.2600,,3.2600,
179,17附息国债14,101.20,2.6600,-11.0,2.6600,
180,19进出09,100.19,2.7031,0.31,2.6904,
181,20易睿平安ABN001优先,100.00,,,,
182,20中国银行CD057,98.62,2.6202,-4.96,2.6663,
183,20抗疫国债01,97.35,3.0500,2.0,3.0369,
184,20浦发银行CD160,97.98,2.7499,-5.0,2.7499,
185,19南京银行二级,98.31,4.2396,-6.78,4.2396,
