,期货累计收益率,策略累计收益率,策略累计收益率,期货胜率,策略1胜率,策略2胜率,期货最大回撤,策略1最大回撤,策略2最大回撤
0,0.989163,1.004228,1.019203,0.486926,0.497743,0.510247,0.036885,0.017763,0.025177
1,0.989163,1.019055,1.049467,0.486926,0.505938,0.520141,0.036885,0.010441,0.012861
2,0.989163,1.00026,1.01132,0.486926,0.489708,0.496113,0.036885,0.01513,0.015343
3,0.989163,1.012321,1.03564,0.486926,0.496902,0.509541,0.036885,0.012928,0.011777
4,0.989163,0.996957,1.004495,0.486926,0.488722,0.498233,0.036885,0.015607,0.020042
5,0.989163,1.004137,1.018836,0.486926,0.499237,0.512367,0.036885,0.017287,0.018728
6,0.989163,1.00636,1.023325,0.486926,0.484787,0.502473,0.036885,0.017414,0.02874
7,0.989163,0.98752,0.985832,0.486926,0.486911,0.488339,0.036885,0.035338,0.036512
8,0.989163,1.001803,1.014483,0.486926,0.489557,0.495406,0.036885,0.029627,0.025335
9,0.989163,0.997319,1.005345,0.486926,0.4855,0.491166,0.036885,0.023826,0.023131
10,0.989163,1.022945,1.057322,0.486926,0.52164,0.526502,0.036885,0.007553,0.018965
11,0.989163,1.003688,1.017695,0.486926,0.487179,0.510954,0.036885,0.00593,0.014498
12,0.989163,0.992347,0.995185,0.486926,0.491699,0.503887,0.036885,0.022706,0.024776
13,0.989163,1.015215,1.041786,0.486926,0.496916,0.508127,0.036885,0.013945,0.012072
14,0.989163,1.018982,1.049265,0.486926,0.510431,0.523675,0.036885,0.012949,0.012606
15,0.989163,1.00582,1.022528,0.486926,0.486044,0.49258,0.036885,0.015929,0.017289
16,0.989163,1.007245,1.025228,0.486926,0.49422,0.50742,0.036885,0.017801,0.029082
17,0.989163,1.009195,1.029382,0.486926,0.5,0.513074,0.036885,0.020297,0.020188
18,0.989163,0.981419,0.973561,0.486926,0.475779,0.473498,0.036885,0.029729,0.030505
19,0.989163,1.009867,1.030366,0.486926,0.501718,0.513781,0.036885,0.008104,0.016528
20,0.989163,1.013144,1.037196,0.486926,0.501656,0.514488,0.036885,0.008118,0.011936
21,0.989163,1.011058,1.03281,0.486926,0.513854,0.520848,0.036885,0.011701,0.015455
22,0.989163,1.02515,1.062075,0.486926,0.520295,0.536396,0.036885,0.015117,0.011804
23,0.989163,0.989617,0.989678,0.486926,0.481424,0.496113,0.036885,0.026685,0.025681
24,0.989163,1.006428,1.02374,0.486926,0.497585,0.509541,0.036885,0.022153,0.015886
25,0.989163,0.99993,1.010485,0.486926,0.485242,0.495406,0.036885,0.030321,0.035079
26,0.989163,1.023481,1.058546,0.486926,0.506808,0.519435,0.036885,0.015373,0.01609
27,0.989163,1.020529,1.052376,0.486926,0.514545,0.524382,0.036885,0.014442,0.018823
28,0.989163,1.023467,1.058569,0.486926,0.504698,0.518021,0.036885,0.013219,0.013697
29,0.989163,0.995265,1.001157,0.486926,0.492708,0.50318,0.036885,0.026996,0.029416
