,期货累计收益率,策略累计收益率,策略累计收益率,,,期货胜率,策略1胜率,策略2胜率,期货最大回撤,策略1最大回撤,策略2最大回撤
0,0.989163,1.025803,1.063504,,,0.486926,0.510832,0.526502,0.036885,0.014368,0.014047
1,0.989163,1.018123,1.047652,,,0.486926,0.505787,0.520141,0.036885,0.014182,0.019327
2,0.989163,1.009357,1.029664,,,0.486926,0.491269,0.502473,0.036885,0.014896,0.02189
3,0.989163,1.015124,1.041472,,,0.486926,0.499446,0.512367,0.036885,0.011184,0.021555
4,0.989163,1.016546,1.044401,,,0.486926,0.504009,0.518021,0.036885,0.014287,0.01983
5,0.989163,1.011042,1.033093,,,0.486926,0.494786,0.506714,0.036885,0.014652,0.015055
6,0.989163,1.00712,1.02512,,,0.486926,0.491582,0.502473,0.036885,0.017889,0.020172
7,0.989163,0.998922,1.008472,,,0.486926,0.491389,0.502473,0.036885,0.017706,0.029516
8,0.989163,1.015088,1.041419,,,0.486926,0.493333,0.504594,0.036885,0.013746,0.018949
9,0.989163,1.018246,1.047893,,,0.486926,0.500564,0.513781,0.036885,0.013111,0.015238
10,0.989163,1.017068,1.045446,,,0.486926,0.502331,0.515901,0.036885,0.01548,0.01671
11,0.989163,1.013574,1.038293,,,0.486926,0.501139,0.514488,0.036885,0.01658,0.018184
12,0.989163,1.008229,1.027351,,,0.486926,0.49409,0.506007,0.036885,0.015037,0.018837
13,0.989163,1.000427,1.011544,,,0.486926,0.484153,0.49258,0.036885,0.014474,0.020564
14,0.989163,1.005241,1.021302,,,0.486926,0.491545,0.502473,0.036885,0.017208,0.024292
15,0.989163,1.015674,1.04262,,,0.486926,0.501114,0.514488,0.036885,0.013545,0.029575
16,0.989163,1.01915,1.049744,,,0.486926,0.508197,0.522968,0.036885,0.012467,0.027405
17,0.989163,1.003997,1.018757,,,0.486926,0.489338,0.499647,0.036885,0.016443,0.025571
18,0.989163,1.005945,1.022701,,,0.486926,0.488992,0.499647,0.036885,0.018132,0.020826
19,0.989163,1.022492,1.056638,,,0.486926,0.5,0.513074,0.036885,0.013647,0.018215
20,0.989163,1.00227,1.015262,,,0.486926,0.496036,0.508127,0.036885,0.018312,0.027409
21,0.989163,1.005808,1.022433,,,0.486926,0.495954,0.508127,0.036885,0.016766,0.020614
22,0.989163,1.011001,1.033028,,,0.486926,0.493228,0.504594,0.036885,0.017414,0.019262
23,0.989163,1.015778,1.042817,,,0.486926,0.496674,0.508834,0.036885,0.015818,0.017284
24,0.989163,1.007343,1.025557,,,0.486926,0.48627,0.496113,0.036885,0.014572,0.019499
25,0.989163,1.018098,1.047587,,,0.486926,0.498258,0.510954,0.036885,0.0136,0.018661
26,0.989163,1.012615,1.036314,,,0.486926,0.487544,0.498233,0.036885,0.015061,0.025663
27,0.989163,1.017694,1.046747,,,0.486926,0.504028,0.518021,0.036885,0.011889,0.023535
28,0.989163,1.014814,1.040836,,,0.486926,0.500566,0.513781,0.036885,0.018634,0.0221
29,0.989163,1.020298,1.052119,,,0.486926,0.506118,0.520848,0.036885,0.013993,0.018755
